Order ID,Phone,Quatity Ordered,Price Each,Order Date,Provider_City_Country,No Discount - Single Purchase,Sales_Less_Discount(8%),Sales_Less_Discount(15%),All sales,Month,Region
134748,Xiaomi Redmi Note 10 Pro 5G,1,200,07/04/21 23:08 ,"Provider_9,Lagos, Nigeria",200.0,,,200.0,4,Africa
134749,iPhone 13,4,1000,04/04/21 11:53 ,"Provider_9,Lagos, Nigeria",,,3400.0,3400.0,4,Africa
134750,Xiaomi Redmi Note 11 Pro 5G,2,350,18/04/21 21:08 ,"Provider_17,Islamabad, Pakistan",,644.0,,644.0,4,Middle-East
134751,Google Pixal - 2,1,900,15/04/21 17:26 ,"Provider_11,Munich, Germany",900.0,,,900.0,4,Europe
134752,Samsung Galexy S10,1,300,21/04/21 05:18 ,"Provider_14,Ankara, Turkey",300.0,,,300.0,4,Europe
134753,Samsung Galexy S22,2,1100,03/04/21 12:37 ,"Provider_2,Delhi, India",,2024.0,,2024.0,4,Asia
134754,Google Pixal - 1,2,700,19/04/21 18:58 ,"Provider_4,Jakarta, Indonesia",,1288.0,,1288.0,4,South East Asia
134755,Sony Xperia 20,1,800,08/04/21 15:33 ,"Provider_4,Jakarta, Indonesia",800.0,,,800.0,4,South East Asia
134756,Xiaomi Redmi Note 11 Pro 5G,2,350,03/04/21 11:50 ,"Provider_17,Islamabad, Pakistan",,644.0,,644.0,4,Middle-East
134757,Xiaomi Redmi Note 10 Pro 5G,2,200,10/04/21 12:28 ,"Provider_4,Jakarta, Indonesia",,368.0,,368.0,4,South East Asia
134758,Huawei - 2,2,350,27/04/21 15:55 ,"Provider_2,Delhi, India",,644.0,,644.0,4,Asia
134759,Huawei - 1,3,550,23/04/21 21:28 ,"Provider_13,Dhaka, Bangladesh",,1518.0,,1518.0,4,Asia
134760,Xiaomi 12 Pro,9,900,06/04/21 17:34 ,"Provider_20,Durban, South Africa",,,6885.0,6885.0,4,Africa
