Order ID,Phone,Quatity Ordered,Price Each,Order Date,Provider_City_Country
134941,Samsung Galexy S22,3,1100,13/04/21 13:37 ,"Provider_4,Jakarta, Indonesia"
134942,Xiaomi 12 Pro,1,900,19/04/21 19:30 ,"Provider_16,Giza, Egypt"
134943,iPhone 12,1,700,19/04/21 11:51 ,"Provider_1,Beijing, China"
134944,Huawei - 2,2,350,26/04/21 19:08 ,"Provider_11,Munich, Germany"
134945,Xiaomi Redmi Note 11 Pro 5G,1,350,13/04/21 19:40 ,"Provider_5,Sao Paulo, Brazil"
134946,iPhone 13,1,1000,16/04/21 16:26 ,"Provider_19,Milan, Italy"
134947,Sony Xperia 5,1,450,03/04/21 20:37 ,"Provider_11,Munich, Germany"
134948,iPhone 11,1,500,04/04/21 20:27 ,"Provider_4,Jakarta, Indonesia"
134949,Samsung Galexy S21,1,800,22/04/21 05:10 ,"Provider_10,Manila, Philippines"
134950,Google Pixal - 1,4,700,20/04/21 16:30 ,"Provider_1,Beijing, China"
134951,Huawei - 1,1,550,18/04/21 22:08 ,"Provider_4,Jakarta, Indonesia"
134952,Xiaomi Redmi Note 10 Pro 5G,1,200,02/04/21 00:06 ,"Provider_9,Lagos, Nigeria"
134953,Huawei - 2,1,350,30/04/21 10:40 ,"Provider_3,Boston, United States"
134954,Google Pixal - 2,1,900,27/04/21 03:55 ,"Provider_4,Jakarta, Indonesia"
134955,Xiaomi Redmi Note 11 Pro 5G,3,350,07/04/21 13:22 ,"Provider_19,Milan, Italy"
134956,Samsung Galexy S22,2,1100,17/04/21 12:56 ,"Provider_14,Ankara, Turkey"
134957,Nokia c300,2,600,06/04/21 19:21 ,"Provider_2,Delhi, India"
134958,Sony Xperia 10,1,700,30/04/21 15:46 ,"Provider_1,Beijing, China"
134959,Google Pixal - 2,2,900,21/04/21 19:46 ,"Provider_13,Dhaka, Bangladesh"
134960,Nokia c200,3,400,29/04/21 18:57 ,"Provider_1,Beijing, China"
134961,Xiaomi Redmi Note 10 Pro 5G,1,200,20/04/21 22:20 ,"Provider_2,Delhi, India"
134962,iPhone 11,3,500,14/04/21 21:42 ,"Provider_15,Isfahan, Iran"
134963,Huawei - 1,1,550,04/04/21 19:37 ,"Provider_5,Sao Paulo, Brazil"
134964,Samsung Galexy S22,2,1100,09/04/21 20:34 ,"Provider_2,Delhi, India"
134965,iPhone 13,3,1000,29/04/21 10:02 ,"Provider_1,Beijing, China"
134966,Xiaomi Redmi Note 10 Pro 5G,1,200,21/04/21 22:55 ,"Provider_7,Yokohama, Japan"
134967,iPhone 11,2,500,04/04/21 20:11 ,"Provider_3,Boston, United States"
134968,Samsung Galexy S22,2,1100,02/04/21 14:09 ,"Provider_17,Islamabad, Pakistan"
134969,Samsung Galexy S21,1,800,18/04/21 21:24 ,"Provider_5,Sao Paulo, Brazil"
134970,Xiaomi Redmi Note 11 Pro 5G,3,350,21/04/21 13:52 ,"Provider_15,Isfahan, Iran"
134971,Samsung Galexy S21,2,800,17/04/21 14:48 ,"Provider_2,Delhi, India"
134972,Samsung Galexy S21,2,800,06/04/21 00:36 ,"Provider_5,Sao Paulo, Brazil"
134973,Google Android,4,500,15/04/21 00:44 ,"Provider_6,Moscow, Russia"
134974,Huawei - 2,2,350,05/04/21 16:50 ,"Provider_10,Manila, Philippines"
