Order ID,Phone,Quatity Ordered,Price Each,Order Date,Provider_City_Country
159793,Xiaomi Redmi Note 11 Pro 5G,1,350,02/12/21 13:43 ,"Provider_2,Delhi, India"
159794,Samsung Galexy S22,1,1100,31/12/21 02:44 ,"Provider_1,Beijing, China"
159795,Sony Xperia 5,1,450,14/12/21 18:41 ,"Provider_6,Moscow, Russia"
159796,Huawei - 3,1,200,19/12/21 13:42 ,"Provider_15,Isfahan, Iran"
159797,Huawei - 2,2,350,08/12/21 15:39 ,"Provider_2,Delhi, India"
159798,Xiaomi Redmi Note 10 Pro 5G,1,200,12/12/21 16:48 ,"Provider_3,Boston, United States"
159799,iPhone 12,1,700,09/12/21 14:46 ,"Provider_14,Ankara, Turkey"
159800,Samsung Galexy S22,5,1100,21/12/21 22:28 ,"Provider_8,Mexico City, Mexico"
159801,Xiaomi 12 Pro,1,900,25/12/21 13:34 ,"Provider_18,Bangkok, Thailand"
159802,Samsung Galexy S22,1,1100,19/12/21 13:32 ,"Provider_5,Sao Paulo, Brazil"
159803,Samsung Galexy S21,1,800,20/12/21 18:47 ,"Provider_12,Hanoi, Vietnam"
159804,Nokia c200,4,400,26/12/21 17:58 ,"Provider_19,Milan, Italy"
159805,Xiaomi Redmi Note 10 Pro 5G,1,200,11/12/21 10:46 ,"Provider_15,Isfahan, Iran"
159806,Xiaomi Redmi Note 11 Pro 5G,2,350,17/12/21 22:15 ,"Provider_10,Manila, Philippines"
159807,Xiaomi 12 Pro,1,900,16/12/21 12:11 ,"Provider_6,Moscow, Russia"
159808,iPhone 13,1,1000,26/12/21 12:16 ,"Provider_9,Lagos, Nigeria"
159809,iPhone 13,1,1000,03/12/21 14:04 ,"Provider_19,Milan, Italy"
159810,iPhone 11,2,500,05/12/21 16:03 ,"Provider_4,Jakarta, Indonesia"
159811,Huawei - 1,2,550,15/12/21 20:20 ,"Provider_6,Moscow, Russia"
159812,Samsung Galexy S22,1,1100,23/12/21 11:37 ,"Provider_1,Beijing, China"
159813,Samsung Galexy S21,1,800,17/12/21 20:00 ,"Provider_20,Durban, South Africa"
159814,iPhone 12,2,700,27/12/21 10:21 ,"Provider_11,Munich, Germany"
159815,Huawei - 2,1,350,15/12/21 19:01 ,"Provider_8,Mexico City, Mexico"
159816,iPhone 12,1,700,22/12/21 18:07 ,"Provider_2,Delhi, India"
159817,iPhone 12,2,700,26/12/21 13:52 ,"Provider_14,Ankara, Turkey"
159818,Xiaomi Redmi Note 10 Pro 5G,1,200,29/12/21 09:36 ,"Provider_16,Giza, Egypt"
159819,Samsung Galexy S22,2,1100,07/12/21 18:06 ,"Provider_3,Boston, United States"
159820,Nokia c300,2,600,09/12/21 22:44 ,"Provider_1,Beijing, China"
159821,Samsung Galexy S10,2,300,26/12/21 19:27 ,"Provider_1,Beijing, China"
159822,Samsung Galexy S10,1,300,31/12/21 21:58 ,"Provider_5,Sao Paulo, Brazil"
159823,Samsung Galexy S10,2,300,12/12/21 13:26 ,"Provider_16,Giza, Egypt"
159824,Google Pixal - 2,1,900,28/12/21 19:17 ,"Provider_20,Durban, South Africa"
159825,Nokia c200,2,400,02/12/21 11:49 ,"Provider_4,Jakarta, Indonesia"
159826,Huawei - 2,3,350,11/12/21 18:56 ,"Provider_3,Boston, United States"
159827,Xiaomi Redmi Note 11 Pro 5G,3,350,13/12/21 13:02 ,"Provider_11,Munich, Germany"
159828,Huawei - 3,2,200,01/12/21 10:55 ,"Provider_15,Isfahan, Iran"
159829,Google Pixal - 2,1,900,07/12/21 14:39 ,"Provider_7,Yokohama, Japan"
159830,Xiaomi 12 Pro,1,900,10/12/21 15:57 ,"Provider_9,Lagos, Nigeria"
159831,Huawei - 2,1,350,24/12/21 18:46 ,"Provider_3,Boston, United States"
159832,Samsung Galexy S21,3,800,22/12/21 11:32 ,"Provider_13,Dhaka, Bangladesh"
159833,Xiaomi Redmi Note 11 Pro 5G,1,350,05/12/21 11:40 ,"Provider_14,Ankara, Turkey"
159834,iPhone 12,3,700,16/12/21 13:16 ,"Provider_16,Giza, Egypt"
159835,Sony Xperia 20,4,800,31/12/21 13:19 ,"Provider_16,Giza, Egypt"
159836,Xiaomi 12 Pro,1,900,01/12/21 13:38 ,"Provider_3,Boston, United States"
159837,Samsung Galexy S10,2,300,19/12/21 14:51 ,"Provider_17,Islamabad, Pakistan"
159838,Sony Xperia 20,1,800,17/12/21 22:33 ,"Provider_16,Giza, Egypt"
159839,Huawei - 3,2,200,14/12/21 22:18 ,"Provider_2,Delhi, India"
159840,Huawei - 3,1,200,18/12/21 11:09 ,"Provider_6,Moscow, Russia"
159841,Sony Xperia 20,1,800,21/12/21 15:48 ,"Provider_20,Durban, South Africa"
159842,Xiaomi Redmi Note 10 Pro 5G,2,200,21/12/21 20:59 ,"Provider_3,Boston, United States"
159843,Huawei - 1,2,550,15/12/21 14:17 ,"Provider_16,Giza, Egypt"
159844,Google Pixal - 2,1,900,20/12/21 15:41 ,"Provider_5,Sao Paulo, Brazil"
159845,Samsung Galexy S21,1,800,25/12/21 21:39 ,"Provider_6,Moscow, Russia"
159846,Samsung Galexy S10,1,300,01/12/21 22:36 ,"Provider_10,Manila, Philippines"
159847,Samsung Galexy S22,1,1100,22/12/21 19:17 ,"Provider_8,Mexico City, Mexico"
159848,Google Pixal - 1,1,700,27/12/21 18:53 ,"Provider_2,Delhi, India"
159849,Huawei - 3,1,200,04/12/21 19:39 ,"Provider_7,Yokohama, Japan"
159850,Google Pixal - 1,1,700,22/12/21 10:47 ,"Provider_12,Hanoi, Vietnam"
159851,iPhone 13,2,1000,09/12/21 19:35 ,"Provider_10,Manila, Philippines"
159852,Huawei - 1,1,550,12/12/21 13:05 ,"Provider_8,Mexico City, Mexico"
159853,Samsung Galexy S22,1,1100,21/12/21 13:13 ,"Provider_4,Jakarta, Indonesia"
159854,iPhone 13,1,1000,18/12/21 20:17 ,"Provider_6,Moscow, Russia"
159855,iPhone 11,4,500,27/12/21 19:33 ,"Provider_17,Islamabad, Pakistan"
159856,Nokia c200,1,400,08/12/21 13:32 ,"Provider_20,Durban, South Africa"
159857,Samsung Galexy S21,1,800,28/12/21 15:40 ,"Provider_6,Moscow, Russia"
159858,Google Pixal - 1,1,700,29/12/21 13:34 ,"Provider_2,Delhi, India"
159859,Huawei - 2,1,350,31/12/21 20:45 ,"Provider_1,Beijing, China"
159860,Google Pixal - 2,1,900,04/12/21 10:27 ,"Provider_10,Manila, Philippines"
159861,Google Android,1,500,03/12/21 11:19 ,"Provider_12,Hanoi, Vietnam"
159862,Nokia c300,1,600,01/12/21 17:23 ,"Provider_4,Jakarta, Indonesia"
159863,iPhone 13,3,1000,14/12/21 19:43 ,"Provider_2,Delhi, India"
159864,Samsung Galexy S10,2,300,18/12/21 12:36 ,"Provider_11,Munich, Germany"
159865,Xiaomi Redmi Note 11 Pro 5G,1,350,14/12/21 22:38 ,"Provider_2,Delhi, India"
159866,Huawei - 2,3,350,04/12/21 13:49 ,"Provider_14,Ankara, Turkey"
159867,Samsung Galexy S10,3,300,06/12/21 17:45 ,"Provider_19,Milan, Italy"
159868,iPhone 13,1,1000,02/12/21 21:47 ,"Provider_14,Ankara, Turkey"
159869,Xiaomi 12 Pro,1,900,22/12/21 14:53 ,"Provider_15,Isfahan, Iran"
159870,Xiaomi Redmi Note 10 Pro 5G,1,200,27/12/21 22:33 ,"Provider_1,Beijing, China"
159871,Sony Xperia 20,1,800,07/12/21 15:52 ,"Provider_3,Boston, United States"
159872,Xiaomi 12 Pro,3,900,30/12/21 13:33 ,"Provider_3,Boston, United States"
159873,iPhone 11,1,500,11/12/21 14:52 ,"Provider_9,Lagos, Nigeria"
159874,Google Android,1,500,22/12/21 16:24 ,"Provider_16,Giza, Egypt"
159875,Nokia c300,1,600,16/12/21 14:15 ,"Provider_19,Milan, Italy"
159876,Sony Xperia 20,2,800,19/12/21 21:52 ,"Provider_9,Lagos, Nigeria"
