Order ID,Phone,Quatity Ordered,Price Each,Order Date,Provider_City_Country
128646,Sony Xperia 20,1,800,13/02/21 16:15 ,"Provider_3,Boston, United States"
128647,Google Pixal - 1,1,700,01/02/21 10:57 ,"Provider_16,Giza, Egypt"
128648,Samsung Galexy S22,1,1100,26/02/21 06:03 ,"Provider_2,Delhi, India"
128649,Samsung Galexy S10,1,300,23/02/21 06:19 ,"Provider_2,Delhi, India"
128650,Google Android,6,500,26/02/21 11:17 ,"Provider_18,Bangkok, Thailand"
128651,Nokia c200,3,400,13/02/21 18:23 ,"Provider_12,Hanoi, Vietnam"
128652,Nokia c300,2,600,06/02/21 12:47 ,"Provider_15,Isfahan, Iran"
128653,Samsung Galexy S21,1,800,13/02/21 15:38 ,"Provider_4,Jakarta, Indonesia"
128654,Xiaomi Redmi Note 11 Pro 5G,1,350,07/02/21 10:13 ,"Provider_1,Beijing, China"
128655,iPhone 13,1,1000,21/02/21 17:59 ,"Provider_16,Giza, Egypt"
128656,Xiaomi Redmi Note 11 Pro 5G,2,350,28/02/21 20:37 ,"Provider_20,Durban, South Africa"
128657,Xiaomi 12 Pro,1,900,28/02/21 17:47 ,"Provider_12,Hanoi, Vietnam"
128658,Huawei - 2,1,350,07/02/21 18:44 ,"Provider_10,Manila, Philippines"
128659,Nokia c200,1,400,24/02/21 14:12 ,"Provider_7,Yokohama, Japan"
128660,Xiaomi 12 Pro,1,900,13/02/21 14:26 ,"Provider_15,Isfahan, Iran"
128661,iPhone 13,2,1000,04/02/21 07:52 ,"Provider_7,Yokohama, Japan"
128662,Google Android,3,500,01/02/21 18:10 ,"Provider_5,Sao Paulo, Brazil"
128663,Samsung Galexy S21,1,800,15/02/21 20:37 ,"Provider_18,Bangkok, Thailand"
128664,Google Pixal - 2,1,900,21/02/21 16:40 ,"Provider_8,Mexico City, Mexico"
128665,Huawei - 2,1,350,23/02/21 20:28 ,"Provider_2,Delhi, India"
128666,Xiaomi Redmi Note 11 Pro 5G,1,350,05/02/21 21:13 ,"Provider_4,Jakarta, Indonesia"
128667,iPhone 12,2,700,14/02/21 12:50 ,"Provider_8,Mexico City, Mexico"
128668,iPhone 13,1,1000,14/02/21 15:19 ,"Provider_3,Boston, United States"
128669,iPhone 13,3,1000,27/02/21 16:51 ,"Provider_5,Sao Paulo, Brazil"
128670,Sony Xperia 5,1,450,27/02/21 10:36 ,"Provider_7,Yokohama, Japan"
128671,Xiaomi 12 Pro,4,900,01/02/21 19:33 ,"Provider_7,Yokohama, Japan"
128672,Google Pixal - 2,2,900,05/02/21 16:49 ,"Provider_8,Mexico City, Mexico"
128673,iPhone 11,2,500,23/02/21 17:33 ,"Provider_3,Boston, United States"
128674,Google Pixal - 2,1,900,26/02/21 19:24 ,"Provider_13,Dhaka, Bangladesh"
128675,Google Pixal - 2,1,900,24/02/21 22:01 ,"Provider_7,Yokohama, Japan"
