Order ID,Phone,Quatity Ordered,Price Each,Order Date,Provider_City_Country
124554,iPhone 12,2,700,24/01/21 16:21 ,"Provider_1,Beijing, China"
124555,iPhone 13,3,1000,26/01/21 18:16 ,"Provider_7,Yokohama, Japan"
124556,iPhone 13,2,1000,25/01/21 16:39 ,"Provider_3,Boston, United States"
124557,Xiaomi Redmi Note 10 Pro 5G,2,200,04/01/21 22:41 ,"Provider_3,Boston, United States"
124558,iPhone 11,1,500,13/01/21 18:56 ,"Provider_20,Durban, South Africa"
124559,Nokia c300,1,600,08/01/21 20:23 ,"Provider_20,Durban, South Africa"
124560,Sony Xperia 20,1,800,24/01/21 21:39 ,"Provider_10,Manila, Philippines"
124561,Huawei - 1,2,550,29/01/21 09:18 ,"Provider_8,Mexico City, Mexico"
124562,Google Pixal - 2,4,900,02/01/21 10:24 ,"Provider_2,Delhi, India"
124563,Nokia c200,2,400,06/01/21 22:56 ,"Provider_15,Isfahan, Iran"
124564,Sony Xperia 20,1,800,26/01/21 11:00 ,"Provider_2,Delhi, India"
124565,Huawei - 2,2,350,16/01/21 20:31 ,"Provider_1,Beijing, China"
124566,Nokia c200,1,400,25/01/21 07:58 ,"Provider_16,Giza, Egypt"
124567,iPhone 13,4,1000,31/01/21 15:15 ,"Provider_1,Beijing, China"
124568,Samsung Galexy S10,1,300,09/01/21 11:38 ,"Provider_12,Hanoi, Vietnam"
124569,Xiaomi Redmi Note 10 Pro 5G,2,200,01/01/21 11:42 ,"Provider_17,Islamabad, Pakistan"
124570,Samsung Galexy S21,2,800,23/01/21 11:17 ,"Provider_2,Delhi, India"
124571,iPhone 12,1,700,21/01/21 09:22 ,"Provider_7,Yokohama, Japan"
124572,iPhone 13,1,1000,05/01/21 20:53 ,"Provider_6,Moscow, Russia"
124573,Google Pixal - 1,5,700,29/01/21 23:01 ,"Provider_2,Delhi, India"
124574,iPhone 13,1,1000,09/01/21 22:06 ,"Provider_2,Delhi, India"
124575,Google Pixal - 2,1,900,21/01/21 12:11 ,"Provider_6,Moscow, Russia"
124576,Huawei - 3,2,200,22/01/21 18:57 ,"Provider_2,Delhi, India"
124577,Xiaomi Redmi Note 11 Pro 5G,1,350,27/01/21 13:05 ,"Provider_7,Yokohama, Japan"
124578,Samsung Galexy S21,1,800,20/01/21 07:48 ,"Provider_6,Moscow, Russia"
124579,Google Pixal - 2,2,900,16/01/21 18:59 ,"Provider_5,Sao Paulo, Brazil"
124580,Sony Xperia 5,2,450,04/01/21 12:09 ,"Provider_3,Boston, United States"
124581,Sony Xperia 5,2,450,07/01/21 20:40 ,"Provider_8,Mexico City, Mexico"
124582,Xiaomi Redmi Note 10 Pro 5G,2,200,13/01/21 21:21 ,"Provider_2,Delhi, India"
124583,Samsung Galexy S22,4,1100,21/01/21 16:04 ,"Provider_7,Yokohama, Japan"
124584,Samsung Galexy S10,1,300,15/01/21 10:48 ,"Provider_13,Dhaka, Bangladesh"
124585,Google Pixal - 1,1,700,30/01/21 13:40 ,"Provider_19,Milan, Italy"
124586,Xiaomi Redmi Note 11 Pro 5G,3,350,29/01/21 11:58 ,"Provider_3,Boston, United States"
124587,Samsung Galexy S22,1,1100,28/01/21 13:47 ,"Provider_12,Hanoi, Vietnam"
124588,Sony Xperia 20,2,800,31/01/21 15:07 ,"Provider_6,Moscow, Russia"
124589,Xiaomi Redmi Note 11 Pro 5G,1,350,17/01/21 13:54 ,"Provider_5,Sao Paulo, Brazil"
124590,Nokia c200,1,400,19/01/21 15:24 ,"Provider_9,Lagos, Nigeria"
