Order ID,Phone,Quatity Ordered,Price Each,Order Date,Provider_City_Country
144108,Google Android,1,500,17/07/21 23:20 ,"Provider_1,Beijing, China"
144109,Sony Xperia 5,2,450,04/07/21 14:22 ,"Provider_6,Moscow, Russia"
144110,Xiaomi Redmi Note 11 Pro 5G,1,350,15/07/21 16:43 ,"Provider_16,Giza, Egypt"
144111,iPhone 11,1,500,29/07/21 13:58 ,"Provider_7,Yokohama, Japan"
144112,iPhone 13,3,1000,09/07/21 19:03 ,"Provider_7,Yokohama, Japan"
144113,Sony Xperia 5,1,450,09/07/21 08:29 ,"Provider_13,Dhaka, Bangladesh"
144114,iPhone 12,1,700,21/07/21 11:25 ,"Provider_5,Sao Paulo, Brazil"
144115,Xiaomi Redmi Note 10 Pro 5G,3,200,10/07/21 16:16 ,"Provider_14,Ankara, Turkey"
144116,iPhone 12,1,700,02/07/21 09:47 ,"Provider_2,Delhi, India"
144117,Huawei - 3,4,200,19/07/21 16:19 ,"Provider_4,Jakarta, Indonesia"
144118,Huawei - 2,1,350,16/07/21 11:28 ,"Provider_4,Jakarta, Indonesia"
144119,Google Pixal - 2,2,900,20/07/21 11:13 ,"Provider_3,Boston, United States"
144120,iPhone 13,1,1000,08/07/21 13:18 ,"Provider_3,Boston, United States"
144121,Xiaomi Redmi Note 11 Pro 5G,2,350,05/07/21 23:07 ,"Provider_11,Munich, Germany"
144122,iPhone 13,1,1000,31/07/21 21:00 ,"Provider_3,Boston, United States"
144123,Google Android,2,500,25/07/21 12:46 ,"Provider_10,Manila, Philippines"
144124,Samsung Galexy S21,1,800,20/07/21 11:52 ,"Provider_1,Beijing, China"
144125,Samsung Galexy S21,2,800,31/07/21 15:24 ,"Provider_13,Dhaka, Bangladesh"
144126,Huawei - 2,1,350,26/07/21 19:52 ,"Provider_1,Beijing, China"
144127,Samsung Galexy S10,1,300,24/07/21 15:49 ,"Provider_2,Delhi, India"
144128,Huawei - 2,1,350,15/07/21 20:48 ,"Provider_1,Beijing, China"
144129,iPhone 12,2,700,03/07/21 17:28 ,"Provider_4,Jakarta, Indonesia"
144130,Xiaomi Redmi Note 10 Pro 5G,1,200,27/07/21 09:27 ,"Provider_2,Delhi, India"
144131,Huawei - 3,3,200,20/07/21 22:21 ,"Provider_5,Sao Paulo, Brazil"
144132,Huawei - 2,1,350,20/07/21 22:23 ,"Provider_10,Manila, Philippines"
144133,iPhone 12,1,700,04/07/21 09:18 ,"Provider_7,Yokohama, Japan"
144134,Xiaomi Redmi Note 11 Pro 5G,2,350,20/07/21 14:12 ,"Provider_11,Munich, Germany"
144135,Xiaomi Redmi Note 10 Pro 5G,3,200,05/07/21 14:59 ,"Provider_17,Islamabad, Pakistan"
144136,Sony Xperia 20,3,800,23/07/21 21:19 ,"Provider_12,Hanoi, Vietnam"
144137,iPhone 11,1,500,13/07/21 12:27 ,"Provider_12,Hanoi, Vietnam"
144138,Xiaomi Redmi Note 11 Pro 5G,1,350,13/07/21 11:23 ,"Provider_4,Jakarta, Indonesia"
144139,Huawei - 3,1,200,09/07/21 19:34 ,"Provider_7,Yokohama, Japan"
144140,Samsung Galexy S21,2,800,03/07/21 06:06 ,"Provider_8,Mexico City, Mexico"
144141,Samsung Galexy S22,1,1100,08/07/21 14:51 ,"Provider_11,Munich, Germany"
144142,Google Pixal - 1,2,700,14/07/21 13:48 ,"Provider_11,Munich, Germany"
144143,Sony Xperia 5,1,450,15/07/21 20:32 ,"Provider_2,Delhi, India"
144144,iPhone 13,1,1000,21/07/21 09:15 ,"Provider_9,Lagos, Nigeria"
144145,Google Android,2,500,13/07/21 15:33 ,"Provider_15,Isfahan, Iran"
144146,Nokia c200,1,400,10/07/21 16:23 ,"Provider_2,Delhi, India"
144147,iPhone 13,1,1000,06/07/21 17:40 ,"Provider_5,Sao Paulo, Brazil"
144148,Xiaomi Redmi Note 10 Pro 5G,3,200,24/07/21 20:39 ,"Provider_3,Boston, United States"
144149,Huawei - 1,1,550,05/07/21 09:19 ,"Provider_6,Moscow, Russia"
144150,Xiaomi 12 Pro,2,900,16/07/21 08:58 ,"Provider_10,Manila, Philippines"
144151,iPhone 13,1,1000,28/07/21 12:00 ,"Provider_2,Delhi, India"
144152,Xiaomi Redmi Note 11 Pro 5G,4,350,04/07/21 14:56 ,"Provider_12,Hanoi, Vietnam"
144153,iPhone 12,1,700,11/07/21 15:47 ,"Provider_14,Ankara, Turkey"
144154,Xiaomi Redmi Note 10 Pro 5G,1,200,03/07/21 10:36 ,"Provider_11,Munich, Germany"
144155,Samsung Galexy S10,2,300,08/07/21 14:46 ,"Provider_2,Delhi, India"
144156,Samsung Galexy S21,1,800,03/07/21 21:40 ,"Provider_2,Delhi, India"
144157,Huawei - 3,1,200,07/07/21 11:30 ,"Provider_2,Delhi, India"
144158,Sony Xperia 20,1,800,13/07/21 18:30 ,"Provider_9,Lagos, Nigeria"
144159,Google Pixal - 1,1,700,18/07/21 22:57 ,"Provider_7,Yokohama, Japan"
144160,Google Pixal - 1,2,700,17/07/21 09:24 ,"Provider_9,Lagos, Nigeria"
144161,iPhone 11,2,500,26/07/21 18:35 ,"Provider_4,Jakarta, Indonesia"
144162,Google Pixal - 1,1,700,05/07/21 12:17 ,"Provider_13,Dhaka, Bangladesh"
144163,Google Pixal - 1,1,700,31/07/21 09:57 ,"Provider_19,Milan, Italy"
144164,iPhone 11,1,500,08/07/21 13:25 ,"Provider_6,Moscow, Russia"
144165,Samsung Galexy S21,4,800,16/07/21 10:59 ,"Provider_5,Sao Paulo, Brazil"
144166,Xiaomi 12 Pro,3,900,10/07/21 13:57 ,"Provider_16,Giza, Egypt"
144167,Samsung Galexy S22,1,1100,16/07/21 23:13 ,"Provider_2,Delhi, India"
144168,Xiaomi Redmi Note 10 Pro 5G,1,200,24/07/21 16:52 ,"Provider_4,Jakarta, Indonesia"
144169,Xiaomi Redmi Note 11 Pro 5G,2,350,02/07/21 19:07 ,"Provider_6,Moscow, Russia"
144170,iPhone 11,2,500,14/07/21 07:31 ,"Provider_9,Lagos, Nigeria"
144171,Samsung Galexy S22,2,1100,10/07/21 16:36 ,"Provider_16,Giza, Egypt"
144172,Xiaomi Redmi Note 11 Pro 5G,2,350,12/07/21 12:02 ,"Provider_1,Beijing, China"
144173,Samsung Galexy S21,1,800,31/07/21 22:46 ,"Provider_1,Beijing, China"
144174,Sony Xperia 10,1,700,04/07/21 09:22 ,"Provider_11,Munich, Germany"
144175,Xiaomi Redmi Note 11 Pro 5G,1,350,25/07/21 10:17 ,"Provider_7,Yokohama, Japan"
144176,Sony Xperia 20,1,800,09/07/21 13:59 ,"Provider_9,Lagos, Nigeria"
144177,Huawei - 3,1,200,28/07/21 17:51 ,"Provider_14,Ankara, Turkey"
144178,Samsung Galexy S21,1,800,12/07/21 19:24 ,"Provider_3,Boston, United States"
144179,Huawei - 2,1,350,18/07/21 12:40 ,"Provider_1,Beijing, China"
144180,Sony Xperia 10,2,700,01/07/21 19:13 ,"Provider_19,Milan, Italy"
144181,iPhone 11,2,500,12/07/21 11:02 ,"Provider_5,Sao Paulo, Brazil"
144182,iPhone 13,2,1000,12/07/21 12:22 ,"Provider_2,Delhi, India"
144183,Samsung Galexy S22,1,1100,13/07/21 12:06 ,"Provider_18,Bangkok, Thailand"
144184,Sony Xperia 5,1,450,02/07/21 19:12 ,"Provider_5,Sao Paulo, Brazil"
144185,Huawei - 1,2,550,09/07/21 16:31 ,"Provider_18,Bangkok, Thailand"
144186,Google Android,2,500,26/07/21 18:06 ,"Provider_20,Durban, South Africa"
144187,Huawei - 3,2,200,11/07/21 10:26 ,"Provider_4,Jakarta, Indonesia"
144188,Google Pixal - 1,1,700,06/07/21 20:18 ,"Provider_20,Durban, South Africa"
144189,Huawei - 1,1,550,16/07/21 18:03 ,"Provider_5,Sao Paulo, Brazil"
144190,Samsung Galexy S21,1,800,08/07/21 09:18 ,"Provider_4,Jakarta, Indonesia"
144191,Nokia c200,1,400,08/07/21 00:05 ,"Provider_9,Lagos, Nigeria"
144192,Xiaomi Redmi Note 11 Pro 5G,1,350,06/07/21 13:52 ,"Provider_1,Beijing, China"
144193,Xiaomi 12 Pro,2,900,06/07/21 13:21 ,"Provider_16,Giza, Egypt"
144194,iPhone 13,1,1000,20/07/21 18:21 ,"Provider_6,Moscow, Russia"
144195,Nokia c300,1,600,10/07/21 22:55 ,"Provider_11,Munich, Germany"
144196,Xiaomi Redmi Note 10 Pro 5G,1,200,28/07/21 13:41 ,"Provider_3,Boston, United States"
144197,Xiaomi 12 Pro,1,900,13/07/21 11:17 ,"Provider_11,Munich, Germany"
144198,Xiaomi 12 Pro,2,900,28/07/21 14:07 ,"Provider_3,Boston, United States"
144199,Huawei - 2,1,350,03/07/21 23:06 ,"Provider_13,Dhaka, Bangladesh"
144200,Samsung Galexy S10,1,300,10/07/21 15:48 ,"Provider_9,Lagos, Nigeria"
144201,Xiaomi Redmi Note 11 Pro 5G,1,350,04/07/21 14:48 ,"Provider_10,Manila, Philippines"
144202,Xiaomi Redmi Note 11 Pro 5G,4,350,24/07/21 21:25 ,"Provider_18,Bangkok, Thailand"
144203,Samsung Galexy S10,1,300,24/07/21 22:51 ,"Provider_17,Islamabad, Pakistan"
144204,Xiaomi Redmi Note 11 Pro 5G,1,350,30/07/21 23:15 ,"Provider_13,Dhaka, Bangladesh"
144205,Xiaomi Redmi Note 11 Pro 5G,1,350,05/07/21 13:14 ,"Provider_20,Durban, South Africa"
144206,Samsung Galexy S10,2,300,09/07/21 09:41 ,"Provider_5,Sao Paulo, Brazil"
144207,Xiaomi 12 Pro,1,900,29/07/21 12:02 ,"Provider_5,Sao Paulo, Brazil"
144208,iPhone 12,1,700,23/07/21 10:17 ,"Provider_12,Hanoi, Vietnam"
144209,Samsung Galexy S22,2,1100,08/07/21 20:23 ,"Provider_14,Ankara, Turkey"
144210,Huawei - 2,2,350,13/07/21 21:02 ,"Provider_6,Moscow, Russia"
144211,Nokia c300,1,600,24/07/21 18:56 ,"Provider_13,Dhaka, Bangladesh"
144212,Nokia c300,1,600,26/07/21 09:28 ,"Provider_11,Munich, Germany"
144213,Xiaomi Redmi Note 11 Pro 5G,1,350,13/07/21 07:05 ,"Provider_3,Boston, United States"
144214,Huawei - 1,3,550,22/07/21 18:37 ,"Provider_17,Islamabad, Pakistan"
144215,Nokia c200,2,400,27/07/21 11:28 ,"Provider_6,Moscow, Russia"
144216,Xiaomi 12 Pro,1,900,08/07/21 11:44 ,"Provider_15,Isfahan, Iran"
144217,Samsung Galexy S22,1,1100,31/07/21 22:22 ,"Provider_10,Manila, Philippines"
144218,Huawei - 1,2,550,04/07/21 20:25 ,"Provider_13,Dhaka, Bangladesh"
144219,Sony Xperia 10,1,700,09/07/21 23:23 ,"Provider_10,Manila, Philippines"
144220,Xiaomi Redmi Note 11 Pro 5G,2,350,04/07/21 12:06 ,"Provider_20,Durban, South Africa"
144221,Sony Xperia 10,2,700,26/07/21 15:36 ,"Provider_13,Dhaka, Bangladesh"
144222,Xiaomi Redmi Note 10 Pro 5G,1,200,07/07/21 23:47 ,"Provider_7,Yokohama, Japan"
144223,Xiaomi Redmi Note 11 Pro 5G,1,350,16/07/21 21:48 ,"Provider_5,Sao Paulo, Brazil"
144224,Samsung Galexy S21,1,800,30/07/21 19:11 ,"Provider_7,Yokohama, Japan"
144225,iPhone 11,3,500,23/07/21 15:38 ,"Provider_8,Mexico City, Mexico"
144226,iPhone 13,4,1000,06/07/21 17:48 ,"Provider_2,Delhi, India"
144227,iPhone 12,1,700,16/07/21 01:41 ,"Provider_4,Jakarta, Indonesia"
144228,Samsung Galexy S22,2,1100,30/07/21 09:48 ,"Provider_8,Mexico City, Mexico"
144229,Xiaomi Redmi Note 11 Pro 5G,1,350,02/07/21 23:29 ,"Provider_13,Dhaka, Bangladesh"
144230,Google Android,1,500,09/07/21 08:26 ,"Provider_11,Munich, Germany"
144231,Huawei - 3,2,200,27/07/21 15:16 ,"Provider_15,Isfahan, Iran"
144232,Huawei - 1,2,550,05/07/21 14:02 ,"Provider_1,Beijing, China"
144233,Samsung Galexy S22,1,1100,30/07/21 16:15 ,"Provider_16,Giza, Egypt"
144234,iPhone 11,1,500,05/07/21 10:26 ,"Provider_1,Beijing, China"
144235,Xiaomi Redmi Note 10 Pro 5G,1,200,21/07/21 10:50 ,"Provider_2,Delhi, India"
144236,Huawei - 3,2,200,18/07/21 22:30 ,"Provider_12,Hanoi, Vietnam"
144237,Samsung Galexy S10,1,300,19/07/21 15:50 ,"Provider_1,Beijing, China"
144238,Xiaomi Redmi Note 11 Pro 5G,3,350,31/07/21 18:29 ,"Provider_5,Sao Paulo, Brazil"
144239,iPhone 11,2,500,03/07/21 10:43 ,"Provider_11,Munich, Germany"
144240,iPhone 12,1,700,20/07/21 16:22 ,"Provider_3,Boston, United States"
144241,Xiaomi Redmi Note 11 Pro 5G,5,350,07/07/21 13:36 ,"Provider_16,Giza, Egypt"
144242,Huawei - 1,1,550,28/07/21 16:02 ,"Provider_9,Lagos, Nigeria"
144243,iPhone 11,1,500,26/07/21 21:22 ,"Provider_14,Ankara, Turkey"
144244,Google Pixal - 2,1,900,16/07/21 11:14 ,"Provider_15,Isfahan, Iran"
144245,Xiaomi Redmi Note 11 Pro 5G,2,350,17/07/21 18:07 ,"Provider_10,Manila, Philippines"
144246,Samsung Galexy S10,3,300,24/07/21 12:25 ,"Provider_20,Durban, South Africa"
144247,Samsung Galexy S10,1,300,18/07/21 10:48 ,"Provider_17,Islamabad, Pakistan"
144248,Xiaomi Redmi Note 11 Pro 5G,1,350,24/07/21 11:28 ,"Provider_1,Beijing, China"
144249,Xiaomi 12 Pro,1,900,13/07/21 01:50 ,"Provider_2,Delhi, India"
144250,iPhone 13,5,1000,19/07/21 20:20 ,"Provider_10,Manila, Philippines"
144251,Xiaomi 12 Pro,1,900,10/07/21 08:05 ,"Provider_15,Isfahan, Iran"
144252,Huawei - 3,2,200,03/07/21 16:29 ,"Provider_8,Mexico City, Mexico"
144253,Google Pixal - 1,2,700,07/07/21 13:15 ,"Provider_11,Munich, Germany"
144254,Nokia c100,1,200,18/07/21 19:34 ,"Provider_17,Islamabad, Pakistan"
144255,Samsung Galexy S22,4,1100,17/07/21 13:50 ,"Provider_5,Sao Paulo, Brazil"
144256,Nokia c200,1,400,05/07/21 10:52 ,"Provider_8,Mexico City, Mexico"
144257,Sony Xperia 5,1,450,08/07/21 12:23 ,"Provider_7,Yokohama, Japan"
144258,Sony Xperia 5,1,450,20/07/21 18:44 ,"Provider_5,Sao Paulo, Brazil"
144259,iPhone 12,1,700,07/07/21 21:06 ,"Provider_20,Durban, South Africa"
144260,Xiaomi 12 Pro,2,900,17/07/21 18:09 ,"Provider_14,Ankara, Turkey"
144261,Google Android,1,500,16/07/21 09:06 ,"Provider_12,Hanoi, Vietnam"
144262,Xiaomi 12 Pro,2,900,19/07/21 14:16 ,"Provider_2,Delhi, India"
144263,Samsung Galexy S21,1,800,10/07/21 10:41 ,"Provider_6,Moscow, Russia"
144264,iPhone 12,1,700,13/07/21 18:07 ,"Provider_19,Milan, Italy"
144265,Samsung Galexy S22,3,1100,24/07/21 17:58 ,"Provider_11,Munich, Germany"
144266,Xiaomi Redmi Note 10 Pro 5G,2,200,15/07/21 07:21 ,"Provider_9,Lagos, Nigeria"
144267,Xiaomi Redmi Note 10 Pro 5G,1,200,29/07/21 19:00 ,"Provider_10,Manila, Philippines"
144268,Samsung Galexy S22,1,1100,03/07/21 21:51 ,"Provider_7,Yokohama, Japan"
144269,iPhone 13,1,1000,20/07/21 08:23 ,"Provider_3,Boston, United States"
144270,Sony Xperia 5,1,450,19/07/21 20:14 ,"Provider_3,Boston, United States"
144271,iPhone 13,1,1000,27/07/21 12:53 ,"Provider_5,Sao Paulo, Brazil"
144272,Xiaomi 12 Pro,3,900,21/07/21 03:07 ,"Provider_5,Sao Paulo, Brazil"
144273,iPhone 13,4,1000,29/07/21 08:21 ,"Provider_2,Delhi, India"
144274,iPhone 13,6,1000,06/07/21 18:50 ,"Provider_7,Yokohama, Japan"
144275,iPhone 11,1,500,18/07/21 15:07 ,"Provider_18,Bangkok, Thailand"
144276,Xiaomi 12 Pro,1,900,07/07/21 07:12 ,"Provider_2,Delhi, India"
144277,Samsung Galexy S22,1,1100,17/07/21 23:26 ,"Provider_16,Giza, Egypt"
144278,Samsung Galexy S21,1,800,17/07/21 08:18 ,"Provider_8,Mexico City, Mexico"
144279,Google Pixal - 2,3,900,09/07/21 18:12 ,"Provider_6,Moscow, Russia"
144280,Xiaomi Redmi Note 10 Pro 5G,3,200,18/07/21 14:36 ,"Provider_13,Dhaka, Bangladesh"
144281,Huawei - 2,1,350,23/07/21 20:34 ,"Provider_14,Ankara, Turkey"
144282,Sony Xperia 5,1,450,18/07/21 16:49 ,"Provider_1,Beijing, China"
144283,iPhone 13,1,1000,01/07/21 14:07 ,"Provider_1,Beijing, China"
144284,Xiaomi Redmi Note 11 Pro 5G,2,350,22/07/21 12:40 ,"Provider_17,Islamabad, Pakistan"
144285,Xiaomi Redmi Note 11 Pro 5G,1,350,14/07/21 18:09 ,"Provider_15,Isfahan, Iran"
144286,Xiaomi Redmi Note 11 Pro 5G,2,350,18/07/21 20:24 ,"Provider_5,Sao Paulo, Brazil"
144287,iPhone 12,1,700,11/07/21 21:08 ,"Provider_13,Dhaka, Bangladesh"
144288,Samsung Galexy S22,1,1100,18/07/21 11:51 ,"Provider_3,Boston, United States"
144289,iPhone 12,2,700,21/07/21 16:41 ,"Provider_8,Mexico City, Mexico"
144290,Nokia c300,1,600,28/07/21 16:43 ,"Provider_4,Jakarta, Indonesia"
144291,Nokia c100,1,200,09/07/21 17:52 ,"Provider_5,Sao Paulo, Brazil"
144292,Huawei - 3,6,200,25/07/21 19:30 ,"Provider_12,Hanoi, Vietnam"
144293,Xiaomi 12 Pro,3,900,30/07/21 11:35 ,"Provider_15,Isfahan, Iran"
144294,Google Pixal - 2,1,900,15/07/21 16:46 ,"Provider_15,Isfahan, Iran"
144295,Samsung Galexy S21,1,800,19/07/21 09:43 ,"Provider_2,Delhi, India"
144296,Xiaomi Redmi Note 10 Pro 5G,1,200,05/07/21 11:47 ,"Provider_12,Hanoi, Vietnam"
144297,iPhone 13,2,1000,05/07/21 09:22 ,"Provider_4,Jakarta, Indonesia"
144298,Xiaomi Redmi Note 10 Pro 5G,3,200,11/07/21 13:45 ,"Provider_14,Ankara, Turkey"
144299,Google Pixal - 1,1,700,02/07/21 10:38 ,"Provider_17,Islamabad, Pakistan"
144300,Sony Xperia 20,1,800,14/07/21 17:28 ,"Provider_11,Munich, Germany"
144301,Samsung Galexy S21,1,800,22/07/21 21:46 ,"Provider_16,Giza, Egypt"
144302,Xiaomi Redmi Note 11 Pro 5G,3,350,17/07/21 12:25 ,"Provider_2,Delhi, India"
144303,iPhone 13,3,1000,24/07/21 11:47 ,"Provider_10,Manila, Philippines"
144304,Google Android,1,500,29/07/21 22:20 ,"Provider_14,Ankara, Turkey"
144305,Sony Xperia 20,1,800,25/07/21 10:01 ,"Provider_5,Sao Paulo, Brazil"
144306,Xiaomi 12 Pro,1,900,30/07/21 09:32 ,"Provider_20,Durban, South Africa"
144307,Google Pixal - 2,4,900,30/07/21 13:51 ,"Provider_8,Mexico City, Mexico"
144308,Nokia c100,1,200,04/07/21 18:25 ,"Provider_4,Jakarta, Indonesia"
144309,Sony Xperia 10,1,700,30/07/21 07:26 ,"Provider_3,Boston, United States"
144310,Samsung Galexy S21,2,800,09/07/21 09:07 ,"Provider_1,Beijing, China"
144311,iPhone 11,1,500,01/07/21 22:06 ,"Provider_14,Ankara, Turkey"
144312,Sony Xperia 20,1,800,13/07/21 20:51 ,"Provider_14,Ankara, Turkey"
144313,Samsung Galexy S21,2,800,18/07/21 10:04 ,"Provider_16,Giza, Egypt"
144314,Xiaomi 12 Pro,1,900,13/07/21 23:36 ,"Provider_7,Yokohama, Japan"
144315,Samsung Galexy S10,2,300,27/07/21 09:23 ,"Provider_8,Mexico City, Mexico"
144316,Huawei - 1,3,550,26/07/21 19:27 ,"Provider_2,Delhi, India"
144317,Xiaomi Redmi Note 10 Pro 5G,1,200,01/07/21 19:25 ,"Provider_7,Yokohama, Japan"
144318,Google Pixal - 2,1,900,16/07/21 13:32 ,"Provider_12,Hanoi, Vietnam"
144319,Huawei - 2,3,350,09/07/21 15:55 ,"Provider_14,Ankara, Turkey"
144320,Xiaomi 12 Pro,1,900,06/07/21 22:12 ,"Provider_7,Yokohama, Japan"
144321,Google Pixal - 2,3,900,07/07/21 11:04 ,"Provider_17,Islamabad, Pakistan"
144322,Xiaomi 12 Pro,5,900,07/07/21 21:44 ,"Provider_3,Boston, United States"
144323,Sony Xperia 20,1,800,20/07/21 10:07 ,"Provider_14,Ankara, Turkey"
144324,Samsung Galexy S21,1,800,24/07/21 19:21 ,"Provider_13,Dhaka, Bangladesh"
144325,Samsung Galexy S21,2,800,10/07/21 21:55 ,"Provider_4,Jakarta, Indonesia"
144326,Huawei - 2,1,350,30/07/21 10:58 ,"Provider_19,Milan, Italy"
144327,Xiaomi 12 Pro,1,900,08/07/21 10:29 ,"Provider_12,Hanoi, Vietnam"
144328,Huawei - 3,1,200,16/07/21 10:20 ,"Provider_8,Mexico City, Mexico"
144329,Sony Xperia 5,1,450,31/07/21 21:27 ,"Provider_3,Boston, United States"
