Order ID,Phone,Quatity Ordered,Price Each,Order Date,Provider_City_Country
141017,Google Pixal - 1,1,700,30/06/21 15:25 ,"Provider_20,Durban, South Africa"
141018,Samsung Galexy S22,2,1100,15/06/21 18:37 ,"Provider_18,Bangkok, Thailand"
141019,Samsung Galexy S21,1,800,28/06/21 16:02 ,"Provider_4,Jakarta, Indonesia"
141020,iPhone 12,1,700,25/06/21 15:04 ,"Provider_7,Yokohama, Japan"
141021,Google Pixal - 2,1,900,04/06/21 20:50 ,"Provider_9,Lagos, Nigeria"
141022,Xiaomi Redmi Note 10 Pro 5G,1,200,05/06/21 14:25 ,"Provider_3,Boston, United States"
141023,Sony Xperia 20,1,800,09/06/21 00:20 ,"Provider_5,Sao Paulo, Brazil"
141024,Huawei - 2,5,350,30/06/21 13:10 ,"Provider_2,Delhi, India"
141025,Nokia c100,2,200,12/06/21 10:35 ,"Provider_13,Dhaka, Bangladesh"
141026,Huawei - 3,1,200,12/06/21 20:44 ,"Provider_9,Lagos, Nigeria"
141027,iPhone 12,1,700,01/06/21 16:21 ,"Provider_8,Mexico City, Mexico"
141028,Xiaomi 12 Pro,2,900,13/06/21 21:54 ,"Provider_3,Boston, United States"
141029,Nokia c300,2,600,28/06/21 15:56 ,"Provider_13,Dhaka, Bangladesh"
141030,Google Pixal - 2,2,900,07/06/21 19:24 ,"Provider_7,Yokohama, Japan"
141031,Sony Xperia 5,1,450,11/06/21 00:06 ,"Provider_2,Delhi, India"
141032,Huawei - 1,1,550,28/06/21 09:56 ,"Provider_5,Sao Paulo, Brazil"
141033,Huawei - 2,1,350,02/06/21 11:42 ,"Provider_2,Delhi, India"
141034,Nokia c100,1,200,07/06/21 19:31 ,"Provider_2,Delhi, India"
141035,Xiaomi Redmi Note 10 Pro 5G,2,200,25/06/21 11:57 ,"Provider_12,Hanoi, Vietnam"
141036,Sony Xperia 20,1,800,12/06/21 12:54 ,"Provider_13,Dhaka, Bangladesh"
141037,Xiaomi 12 Pro,1,900,25/06/21 12:08 ,"Provider_10,Manila, Philippines"
141038,Google Pixal - 1,3,700,24/06/21 18:53 ,"Provider_12,Hanoi, Vietnam"
141039,Xiaomi 12 Pro,1,900,08/06/21 13:29 ,"Provider_5,Sao Paulo, Brazil"
141040,iPhone 13,2,1000,26/06/21 09:05 ,"Provider_17,Islamabad, Pakistan"
141041,Huawei - 2,2,350,29/06/21 17:42 ,"Provider_10,Manila, Philippines"
141042,Xiaomi Redmi Note 10 Pro 5G,2,200,24/06/21 15:35 ,"Provider_20,Durban, South Africa"
141043,Sony Xperia 10,2,700,25/06/21 13:39 ,"Provider_9,Lagos, Nigeria"
141044,Xiaomi Redmi Note 10 Pro 5G,1,200,18/06/21 19:47 ,"Provider_5,Sao Paulo, Brazil"
141045,Sony Xperia 20,1,800,12/06/21 08:48 ,"Provider_6,Moscow, Russia"
141046,Huawei - 2,1,350,13/06/21 10:45 ,"Provider_2,Delhi, India"
