Order ID,Phone,Quatity Ordered,Price Each,Order Date,Provider_City_Country
131609,Samsung Galexy S21,1,800,27/03/21 13:52 ,"Provider_16,Giza, Egypt"
131610,Xiaomi 12 Pro,1,900,13/03/21 12:30 ,"Provider_6,Moscow, Russia"
131611,Xiaomi Redmi Note 11 Pro 5G,2,350,14/03/21 10:23 ,"Provider_3,Boston, United States"
131612,Huawei - 1,1,550,10/03/21 00:04 ,"Provider_4,Jakarta, Indonesia"
131613,Xiaomi 12 Pro,2,900,04/03/21 19:25 ,"Provider_3,Boston, United States"
131614,Samsung Galexy S22,1,1100,02/03/21 19:34 ,"Provider_8,Mexico City, Mexico"
131615,iPhone 13,1,1000,27/03/21 12:59 ,"Provider_20,Durban, South Africa"
131616,Xiaomi Redmi Note 10 Pro 5G,2,200,10/03/21 18:31 ,"Provider_3,Boston, United States"
131617,Xiaomi 12 Pro,1,900,16/03/21 16:16 ,"Provider_6,Moscow, Russia"
131618,Huawei - 2,1,350,19/03/21 17:30 ,"Provider_4,Jakarta, Indonesia"
131619,Samsung Galexy S22,1,1100,22/03/21 12:17 ,"Provider_3,Boston, United States"
131620,iPhone 13,1,1000,19/03/21 23:39 ,"Provider_15,Isfahan, Iran"
131621,Xiaomi Redmi Note 10 Pro 5G,1,200,30/03/21 13:53 ,"Provider_5,Sao Paulo, Brazil"
131622,iPhone 11,4,500,06/03/21 18:44 ,"Provider_18,Bangkok, Thailand"
131623,Samsung Galexy S22,1,1100,01/03/21 14:30 ,"Provider_11,Munich, Germany"
131624,Xiaomi Redmi Note 10 Pro 5G,1,200,02/03/21 12:03 ,"Provider_6,Moscow, Russia"
131625,iPhone 11,2,500,09/03/21 16:22 ,"Provider_4,Jakarta, Indonesia"
131626,Xiaomi Redmi Note 11 Pro 5G,2,350,02/03/21 10:42 ,"Provider_10,Manila, Philippines"
131627,Xiaomi Redmi Note 11 Pro 5G,2,350,08/03/21 12:13 ,"Provider_7,Yokohama, Japan"
131628,iPhone 12,2,700,10/03/21 19:56 ,"Provider_19,Milan, Italy"
131629,iPhone 11,2,500,04/03/21 17:43 ,"Provider_11,Munich, Germany"
131630,Huawei - 2,2,350,02/03/21 15:42 ,"Provider_5,Sao Paulo, Brazil"
131631,iPhone 12,2,700,08/03/21 14:06 ,"Provider_20,Durban, South Africa"
131632,Sony Xperia 20,1,800,23/03/21 10:41 ,"Provider_16,Giza, Egypt"
131633,Xiaomi 12 Pro,3,900,27/03/21 09:46 ,"Provider_4,Jakarta, Indonesia"
131634,Nokia c300,1,600,24/03/21 16:52 ,"Provider_1,Beijing, China"
131635,Huawei - 2,2,350,29/03/21 10:29 ,"Provider_20,Durban, South Africa"
131636,Nokia c200,2,400,01/03/21 18:14 ,"Provider_4,Jakarta, Indonesia"
131637,Samsung Galexy S21,1,800,05/03/21 20:14 ,"Provider_13,Dhaka, Bangladesh"
131638,Samsung Galexy S22,4,1100,04/03/21 16:05 ,"Provider_3,Boston, United States"
131639,iPhone 12,2,700,13/03/21 04:33 ,"Provider_12,Hanoi, Vietnam"
131640,Samsung Galexy S22,1,1100,07/03/21 19:56 ,"Provider_8,Mexico City, Mexico"
131641,Sony Xperia 5,2,450,22/03/21 13:04 ,"Provider_9,Lagos, Nigeria"
131642,Samsung Galexy S21,2,800,09/03/21 13:56 ,"Provider_10,Manila, Philippines"
131643,Xiaomi Redmi Note 11 Pro 5G,1,350,04/03/21 13:59 ,"Provider_6,Moscow, Russia"
131644,Xiaomi 12 Pro,1,900,19/03/21 15:21 ,"Provider_3,Boston, United States"
131645,iPhone 13,2,1000,12/03/21 10:02 ,"Provider_12,Hanoi, Vietnam"
131646,Samsung Galexy S10,1,300,16/03/21 13:03 ,"Provider_5,Sao Paulo, Brazil"
131647,Samsung Galexy S10,1,300,14/03/21 07:51 ,"Provider_2,Delhi, India"
131648,Xiaomi Redmi Note 11 Pro 5G,1,350,16/03/21 03:15 ,"Provider_3,Boston, United States"
131649,Sony Xperia 10,1,700,16/03/21 19:25 ,"Provider_12,Hanoi, Vietnam"
131650,iPhone 13,2,1000,20/03/21 22:12 ,"Provider_16,Giza, Egypt"
131651,iPhone 13,1,1000,22/03/21 20:58 ,"Provider_3,Boston, United States"
131652,Google Pixal - 1,1,700,20/03/21 18:10 ,"Provider_2,Delhi, India"
131653,Xiaomi Redmi Note 10 Pro 5G,3,200,26/03/21 18:02 ,"Provider_3,Boston, United States"
131654,Samsung Galexy S10,2,300,03/03/21 18:38 ,"Provider_12,Hanoi, Vietnam"
131655,iPhone 11,1,500,26/03/21 18:59 ,"Provider_6,Moscow, Russia"
131656,iPhone 12,1,700,18/03/21 08:33 ,"Provider_14,Ankara, Turkey"
131657,iPhone 11,2,500,25/03/21 15:39 ,"Provider_9,Lagos, Nigeria"
131658,Xiaomi 12 Pro,2,900,04/03/21 19:29 ,"Provider_12,Hanoi, Vietnam"
131659,Nokia c300,2,600,14/03/21 17:26 ,"Provider_2,Delhi, India"
131660,Samsung Galexy S22,1,1100,11/03/21 14:17 ,"Provider_1,Beijing, China"
131661,iPhone 12,1,700,23/03/21 23:00 ,"Provider_3,Boston, United States"
131662,Samsung Galexy S22,1,1100,19/03/21 12:20 ,"Provider_3,Boston, United States"
131663,Google Android,1,500,07/03/21 22:32 ,"Provider_6,Moscow, Russia"
131664,Huawei - 3,2,200,13/03/21 10:32 ,"Provider_13,Dhaka, Bangladesh"
131665,Sony Xperia 20,1,800,25/03/21 18:20 ,"Provider_5,Sao Paulo, Brazil"
131666,Huawei - 2,1,350,12/03/21 12:45 ,"Provider_4,Jakarta, Indonesia"
131667,Samsung Galexy S21,3,800,01/03/21 06:18 ,"Provider_12,Hanoi, Vietnam"
131668,iPhone 13,1,1000,07/03/21 17:01 ,"Provider_3,Boston, United States"
131669,Xiaomi Redmi Note 10 Pro 5G,1,200,09/03/21 12:24 ,"Provider_7,Yokohama, Japan"
131670,Google Android,1,500,24/03/21 14:27 ,"Provider_3,Boston, United States"
131671,iPhone 12,2,700,24/03/21 22:32 ,"Provider_12,Hanoi, Vietnam"
131672,Xiaomi 12 Pro,2,900,20/03/21 18:00 ,"Provider_2,Delhi, India"
131673,Sony Xperia 5,2,450,24/03/21 16:24 ,"Provider_2,Delhi, India"
131674,iPhone 11,2,500,01/03/21 18:40 ,"Provider_4,Jakarta, Indonesia"
131675,Nokia c300,3,600,24/03/21 21:17 ,"Provider_6,Moscow, Russia"
131676,iPhone 13,1,1000,06/03/21 23:44 ,"Provider_12,Hanoi, Vietnam"
131677,Huawei - 1,1,550,04/03/21 17:34 ,"Provider_3,Boston, United States"
131678,iPhone 11,2,500,09/03/21 16:49 ,"Provider_10,Manila, Philippines"
131679,Samsung Galexy S10,1,300,12/03/21 01:18 ,"Provider_7,Yokohama, Japan"
131680,Xiaomi 12 Pro,1,900,09/03/21 20:06 ,"Provider_14,Ankara, Turkey"
131681,iPhone 12,1,700,05/03/21 00:56 ,"Provider_3,Boston, United States"
131682,Samsung Galexy S22,1,1100,04/03/21 12:08 ,"Provider_9,Lagos, Nigeria"
131683,Xiaomi Redmi Note 11 Pro 5G,1,350,31/03/21 17:08 ,"Provider_2,Delhi, India"
131684,Xiaomi 12 Pro,1,900,22/03/21 18:47 ,"Provider_6,Moscow, Russia"
131685,Huawei - 3,1,200,16/03/21 18:01 ,"Provider_20,Durban, South Africa"
131686,Huawei - 1,1,550,29/03/21 19:50 ,"Provider_6,Moscow, Russia"
131687,Samsung Galexy S21,4,800,03/03/21 12:20 ,"Provider_6,Moscow, Russia"
131688,Samsung Galexy S10,1,300,13/03/21 18:05 ,"Provider_7,Yokohama, Japan"
131689,Huawei - 1,2,550,29/03/21 10:10 ,"Provider_2,Delhi, India"
131690,Xiaomi Redmi Note 11 Pro 5G,3,350,20/03/21 14:27 ,"Provider_9,Lagos, Nigeria"
131691,Samsung Galexy S22,2,1100,21/03/21 20:35 ,"Provider_7,Yokohama, Japan"
131692,Sony Xperia 10,1,700,03/03/21 02:44 ,"Provider_13,Dhaka, Bangladesh"
131693,Sony Xperia 10,9,700,31/03/21 15:40 ,"Provider_5,Sao Paulo, Brazil"
131694,Nokia c300,1,600,26/03/21 01:27 ,"Provider_1,Beijing, China"
131695,iPhone 11,6,500,01/03/21 07:38 ,"Provider_16,Giza, Egypt"
131696,Huawei - 2,2,350,06/03/21 13:42 ,"Provider_7,Yokohama, Japan"
131697,Huawei - 1,5,550,07/03/21 21:06 ,"Provider_10,Manila, Philippines"
131698,iPhone 12,1,700,29/03/21 13:40 ,"Provider_3,Boston, United States"
131699,Huawei - 2,2,350,22/03/21 14:50 ,"Provider_14,Ankara, Turkey"
131700,Samsung Galexy S22,1,1100,27/03/21 19:09 ,"Provider_2,Delhi, India"
131701,Nokia c200,4,400,19/03/21 09:56 ,"Provider_2,Delhi, India"
131702,iPhone 13,2,1000,27/03/21 09:10 ,"Provider_16,Giza, Egypt"
131703,Samsung Galexy S10,1,300,06/03/21 18:59 ,"Provider_4,Jakarta, Indonesia"
131704,Samsung Galexy S21,2,800,21/03/21 10:10 ,"Provider_14,Ankara, Turkey"
131705,Xiaomi Redmi Note 10 Pro 5G,1,200,03/03/21 12:45 ,"Provider_2,Delhi, India"
131706,Google Pixal - 2,1,900,24/03/21 17:19 ,"Provider_6,Moscow, Russia"
131707,Sony Xperia 10,2,700,24/03/21 14:29 ,"Provider_7,Yokohama, Japan"
131708,Samsung Galexy S10,1,300,22/03/21 22:11 ,"Provider_14,Ankara, Turkey"
131709,Samsung Galexy S22,1,1100,02/03/21 14:44 ,"Provider_2,Delhi, India"
131710,Xiaomi 12 Pro,4,900,12/03/21 18:44 ,"Provider_18,Bangkok, Thailand"
131711,Google Pixal - 2,1,900,26/03/21 21:52 ,"Provider_4,Jakarta, Indonesia"
131712,iPhone 11,3,500,05/03/21 19:02 ,"Provider_18,Bangkok, Thailand"
131713,Xiaomi 12 Pro,1,900,17/03/21 11:45 ,"Provider_6,Moscow, Russia"
131714,Samsung Galexy S10,1,300,18/03/21 22:48 ,"Provider_6,Moscow, Russia"
131715,Nokia c300,2,600,10/03/21 17:42 ,"Provider_10,Manila, Philippines"
131716,Xiaomi Redmi Note 11 Pro 5G,1,350,30/03/21 03:08 ,"Provider_1,Beijing, China"
131717,Samsung Galexy S21,2,800,15/03/21 21:39 ,"Provider_5,Sao Paulo, Brazil"
131718,Samsung Galexy S21,1,800,05/03/21 23:02 ,"Provider_2,Delhi, India"
131719,iPhone 13,8,1000,31/03/21 08:49 ,"Provider_2,Delhi, India"
131720,Samsung Galexy S21,1,800,28/03/21 15:08 ,"Provider_20,Durban, South Africa"
131721,Sony Xperia 10,1,700,27/03/21 19:38 ,"Provider_6,Moscow, Russia"
131722,Sony Xperia 10,2,700,16/03/21 18:19 ,"Provider_8,Mexico City, Mexico"
131723,Xiaomi 12 Pro,1,900,12/03/21 09:47 ,"Provider_13,Dhaka, Bangladesh"
131724,Sony Xperia 10,2,700,02/03/21 15:58 ,"Provider_1,Beijing, China"
131725,Huawei - 2,1,350,15/03/21 23:27 ,"Provider_12,Hanoi, Vietnam"
131726,Google Android,1,500,26/03/21 22:49 ,"Provider_10,Manila, Philippines"
131727,Xiaomi Redmi Note 11 Pro 5G,2,350,10/03/21 22:46 ,"Provider_1,Beijing, China"
131728,Sony Xperia 10,4,700,24/03/21 19:03 ,"Provider_9,Lagos, Nigeria"
131729,Nokia c300,1,600,25/03/21 11:40 ,"Provider_2,Delhi, India"
131730,Samsung Galexy S22,1,1100,12/03/21 11:26 ,"Provider_2,Delhi, India"
131731,Google Pixal - 2,2,900,03/03/21 19:15 ,"Provider_2,Delhi, India"
131732,Samsung Galexy S22,1,1100,02/03/21 15:06 ,"Provider_3,Boston, United States"
131733,Xiaomi 12 Pro,3,900,07/03/21 01:06 ,"Provider_11,Munich, Germany"
131734,Sony Xperia 10,1,700,20/03/21 15:01 ,"Provider_17,Islamabad, Pakistan"
131735,Xiaomi 12 Pro,2,900,17/03/21 13:16 ,"Provider_5,Sao Paulo, Brazil"
131736,Samsung Galexy S10,1,300,24/03/21 22:27 ,"Provider_8,Mexico City, Mexico"
131737,Google Pixal - 2,1,900,22/03/21 17:51 ,"Provider_2,Delhi, India"
131738,Xiaomi 12 Pro,1,900,01/03/21 15:40 ,"Provider_20,Durban, South Africa"
131739,Huawei - 1,1,550,16/03/21 10:06 ,"Provider_9,Lagos, Nigeria"
131740,iPhone 13,1,1000,17/03/21 20:02 ,"Provider_11,Munich, Germany"
131741,iPhone 13,1,1000,14/03/21 12:40 ,"Provider_3,Boston, United States"
131742,Xiaomi Redmi Note 10 Pro 5G,1,200,31/03/21 14:40 ,"Provider_6,Moscow, Russia"
131743,iPhone 13,1,1000,23/03/21 09:30 ,"Provider_10,Manila, Philippines"
131744,Xiaomi 12 Pro,3,900,07/03/21 20:07 ,"Provider_1,Beijing, China"
131745,Samsung Galexy S22,1,1100,17/03/21 21:07 ,"Provider_11,Munich, Germany"
131746,Sony Xperia 20,2,800,29/03/21 12:09 ,"Provider_7,Yokohama, Japan"
131747,Huawei - 1,1,550,20/03/21 18:48 ,"Provider_2,Delhi, India"
131748,Xiaomi Redmi Note 10 Pro 5G,1,200,28/03/21 10:00 ,"Provider_18,Bangkok, Thailand"
131749,Xiaomi 12 Pro,1,900,17/03/21 11:40 ,"Provider_14,Ankara, Turkey"
131750,iPhone 12,2,700,14/03/21 18:35 ,"Provider_5,Sao Paulo, Brazil"
131751,Xiaomi 12 Pro,3,900,24/03/21 21:48 ,"Provider_18,Bangkok, Thailand"
131752,Huawei - 1,1,550,01/03/21 16:02 ,"Provider_13,Dhaka, Bangladesh"
131753,iPhone 13,2,1000,03/03/21 13:39 ,"Provider_13,Dhaka, Bangladesh"
131754,Nokia c300,1,600,24/03/21 10:49 ,"Provider_11,Munich, Germany"
131755,Xiaomi Redmi Note 10 Pro 5G,1,200,05/03/21 15:44 ,"Provider_4,Jakarta, Indonesia"
131756,Samsung Galexy S21,3,800,12/03/21 20:36 ,"Provider_6,Moscow, Russia"
131757,Huawei - 2,2,350,14/03/21 08:17 ,"Provider_10,Manila, Philippines"
131758,Samsung Galexy S21,2,800,04/03/21 19:34 ,"Provider_13,Dhaka, Bangladesh"
131759,Samsung Galexy S10,1,300,31/03/21 15:32 ,"Provider_18,Bangkok, Thailand"
131760,iPhone 12,4,700,04/03/21 19:56 ,"Provider_2,Delhi, India"
131761,Sony Xperia 20,1,800,31/03/21 18:40 ,"Provider_2,Delhi, India"
131762,Samsung Galexy S21,2,800,03/03/21 07:04 ,"Provider_12,Hanoi, Vietnam"
131763,Xiaomi Redmi Note 10 Pro 5G,1,200,04/03/21 11:11 ,"Provider_6,Moscow, Russia"
131764,iPhone 13,1,1000,31/03/21 15:24 ,"Provider_12,Hanoi, Vietnam"
131765,Xiaomi Redmi Note 10 Pro 5G,1,200,20/03/21 19:33 ,"Provider_2,Delhi, India"
131766,Xiaomi 12 Pro,1,900,23/03/21 19:18 ,"Provider_12,Hanoi, Vietnam"
131767,Samsung Galexy S22,1,1100,11/03/21 19:14 ,"Provider_4,Jakarta, Indonesia"
131768,Sony Xperia 5,2,450,10/03/21 23:46 ,"Provider_8,Mexico City, Mexico"
131769,Xiaomi Redmi Note 10 Pro 5G,1,200,27/03/21 04:32 ,"Provider_1,Beijing, China"
131770,Nokia c100,1,200,08/03/21 22:20 ,"Provider_5,Sao Paulo, Brazil"
131771,Sony Xperia 10,1,700,08/03/21 14:28 ,"Provider_16,Giza, Egypt"
131772,Samsung Galexy S10,1,300,15/03/21 13:54 ,"Provider_17,Islamabad, Pakistan"
131773,Samsung Galexy S22,3,1100,05/03/21 06:04 ,"Provider_6,Moscow, Russia"
131774,Xiaomi 12 Pro,1,900,09/03/21 08:19 ,"Provider_12,Hanoi, Vietnam"
131775,iPhone 12,1,700,12/03/21 08:40 ,"Provider_5,Sao Paulo, Brazil"
131776,Xiaomi 12 Pro,2,900,03/03/21 08:17 ,"Provider_6,Moscow, Russia"
131777,Samsung Galexy S21,1,800,13/03/21 03:28 ,"Provider_3,Boston, United States"
131778,Samsung Galexy S21,1,800,21/03/21 21:33 ,"Provider_10,Manila, Philippines"
131779,Google Pixal - 1,1,700,24/03/21 06:08 ,"Provider_4,Jakarta, Indonesia"
131780,Nokia c300,1,600,14/03/21 21:53 ,"Provider_16,Giza, Egypt"
131781,iPhone 12,1,700,09/03/21 19:49 ,"Provider_14,Ankara, Turkey"
131782,Sony Xperia 20,1,800,17/03/21 06:50 ,"Provider_10,Manila, Philippines"
131783,Sony Xperia 5,2,450,08/03/21 13:08 ,"Provider_2,Delhi, India"
131784,Nokia c300,1,600,12/03/21 13:41 ,"Provider_19,Milan, Italy"
131785,Huawei - 2,2,350,09/03/21 09:37 ,"Provider_20,Durban, South Africa"
131786,Google Pixal - 2,1,900,03/03/21 00:43 ,"Provider_14,Ankara, Turkey"
131787,Xiaomi Redmi Note 10 Pro 5G,2,200,09/03/21 17:50 ,"Provider_5,Sao Paulo, Brazil"
131788,Samsung Galexy S10,3,300,15/03/21 21:37 ,"Provider_15,Isfahan, Iran"
131789,Samsung Galexy S22,1,1100,02/03/21 09:27 ,"Provider_7,Yokohama, Japan"
