Order ID,Phone,Quatity Ordered,Price Each,Order Date,Provider_City_Country
138031,Samsung Galexy S22,2,1100,15/05/21 00:35 ,"Provider_20,Durban, South Africa"
138032,Google Pixal - 1,2,700,14/05/21 07:22 ,"Provider_20,Durban, South Africa"
138033,Google Pixal - 2,1,900,23/05/21 18:26 ,"Provider_2,Delhi, India"
138034,iPhone 12,1,700,26/05/21 20:12 ,"Provider_3,Boston, United States"
138035,Samsung Galexy S22,1,1100,18/05/21 20:34 ,"Provider_3,Boston, United States"
138036,Samsung Galexy S22,1,1100,01/05/21 20:14 ,"Provider_1,Beijing, China"
138037,iPhone 11,2,500,10/05/21 22:41 ,"Provider_8,Mexico City, Mexico"
138038,Xiaomi Redmi Note 11 Pro 5G,1,350,16/05/21 13:28 ,"Provider_10,Manila, Philippines"
138039,Samsung Galexy S21,1,800,12/05/21 23:10 ,"Provider_4,Jakarta, Indonesia"
138040,iPhone 13,4,1000,30/05/21 15:21 ,"Provider_8,Mexico City, Mexico"
138041,Huawei - 3,1,200,12/05/21 01:25 ,"Provider_6,Moscow, Russia"
138042,Xiaomi Redmi Note 10 Pro 5G,4,200,08/05/21 14:56 ,"Provider_5,Sao Paulo, Brazil"
138043,Samsung Galexy S22,1,1100,24/05/21 22:48 ,"Provider_5,Sao Paulo, Brazil"
138044,Nokia c200,3,400,01/05/21 13:13 ,"Provider_1,Beijing, China"
138045,Google Android,3,500,19/05/21 07:22 ,"Provider_5,Sao Paulo, Brazil"
138046,Samsung Galexy S21,3,800,14/05/21 18:58 ,"Provider_15,Isfahan, Iran"
138047,iPhone 13,4,1000,18/05/21 21:11 ,"Provider_13,Dhaka, Bangladesh"
138048,iPhone 13,2,1000,27/05/21 17:34 ,"Provider_6,Moscow, Russia"
138049,Samsung Galexy S21,1,800,19/05/21 13:49 ,"Provider_3,Boston, United States"
138050,iPhone 12,1,700,14/05/21 08:46 ,"Provider_8,Mexico City, Mexico"
138051,Huawei - 1,1,550,02/05/21 16:42 ,"Provider_3,Boston, United States"
138052,Sony Xperia 10,1,700,22/05/21 09:07 ,"Provider_3,Boston, United States"
138053,Sony Xperia 20,2,800,22/05/21 10:04 ,"Provider_14,Ankara, Turkey"
138054,Xiaomi Redmi Note 10 Pro 5G,1,200,19/05/21 08:57 ,"Provider_10,Manila, Philippines"
138055,Google Pixal - 1,1,700,24/05/21 21:47 ,"Provider_5,Sao Paulo, Brazil"
