Order ID,Phone,Quatity Ordered,Price Each,Order Date,Provider_City_Country
155931,Google Pixal - 2,3,900,04/11/21 08:58 ,"Provider_15,Isfahan, Iran"
155932,Sony Xperia 20,1,800,22/11/21 16:26 ,"Provider_5,Sao Paulo, Brazil"
155933,Xiaomi Redmi Note 10 Pro 5G,1,200,26/11/21 10:53 ,"Provider_17,Islamabad, Pakistan"
155934,Xiaomi 12 Pro,1,900,14/11/21 22:19 ,"Provider_1,Beijing, China"
155935,Samsung Galexy S10,1,300,16/11/21 11:07 ,"Provider_5,Sao Paulo, Brazil"
155936,Huawei - 1,2,550,27/11/21 14:59 ,"Provider_10,Manila, Philippines"
155937,Samsung Galexy S10,1,300,11/11/21 23:53 ,"Provider_19,Milan, Italy"
155938,Samsung Galexy S21,1,800,03/11/21 09:39 ,"Provider_16,Giza, Egypt"
155939,Huawei - 1,1,550,16/11/21 15:42 ,"Provider_13,Dhaka, Bangladesh"
155940,Samsung Galexy S10,1,300,12/11/21 23:21 ,"Provider_8,Mexico City, Mexico"
155941,Sony Xperia 20,1,800,24/11/21 20:03 ,"Provider_3,Boston, United States"
155942,iPhone 12,2,700,03/11/21 14:25 ,"Provider_6,Moscow, Russia"
155943,Huawei - 1,1,550,14/11/21 15:09 ,"Provider_5,Sao Paulo, Brazil"
155944,iPhone 11,1,500,29/11/21 22:14 ,"Provider_14,Ankara, Turkey"
155945,Samsung Galexy S21,1,800,20/11/21 13:33 ,"Provider_1,Beijing, China"
155946,Nokia c300,1,600,09/11/21 20:35 ,"Provider_6,Moscow, Russia"
155947,iPhone 13,4,1000,10/11/21 17:23 ,"Provider_7,Yokohama, Japan"
155948,Sony Xperia 20,1,800,28/11/21 14:38 ,"Provider_4,Jakarta, Indonesia"
155949,iPhone 13,1,1000,29/11/21 14:57 ,"Provider_4,Jakarta, Indonesia"
155950,Xiaomi Redmi Note 10 Pro 5G,1,200,14/11/21 07:42 ,"Provider_9,Lagos, Nigeria"
155951,iPhone 13,1,1000,07/11/21 15:50 ,"Provider_11,Munich, Germany"
155952,Sony Xperia 5,1,450,18/11/21 11:04 ,"Provider_8,Mexico City, Mexico"
155953,Samsung Galexy S22,2,1100,15/11/21 11:28 ,"Provider_2,Delhi, India"
155954,Samsung Galexy S10,1,300,24/11/21 11:16 ,"Provider_4,Jakarta, Indonesia"
155955,iPhone 11,1,500,18/11/21 21:09 ,"Provider_6,Moscow, Russia"
155956,iPhone 13,3,1000,01/11/21 09:47 ,"Provider_6,Moscow, Russia"
155957,Xiaomi Redmi Note 10 Pro 5G,1,200,03/11/21 18:04 ,"Provider_14,Ankara, Turkey"
155958,Google Android,1,500,14/11/21 19:06 ,"Provider_9,Lagos, Nigeria"
155959,Huawei - 1,2,550,20/11/21 20:00 ,"Provider_4,Jakarta, Indonesia"
155960,Huawei - 1,1,550,27/11/21 12:09 ,"Provider_16,Giza, Egypt"
155961,Xiaomi Redmi Note 10 Pro 5G,1,200,14/11/21 07:12 ,"Provider_6,Moscow, Russia"
155962,iPhone 13,1,1000,15/11/21 23:13 ,"Provider_2,Delhi, India"
155963,iPhone 12,1,700,22/11/21 02:09 ,"Provider_7,Yokohama, Japan"
155964,iPhone 12,4,700,27/11/21 13:51 ,"Provider_19,Milan, Italy"
155965,Google Pixal - 2,1,900,15/11/21 12:16 ,"Provider_2,Delhi, India"
155966,Google Android,2,500,19/11/21 22:00 ,"Provider_10,Manila, Philippines"
155967,Sony Xperia 20,1,800,26/11/21 10:12 ,"Provider_5,Sao Paulo, Brazil"
155968,iPhone 11,1,500,12/11/21 23:51 ,"Provider_4,Jakarta, Indonesia"
