Order ID,Phone,Quatity Ordered,Price Each,Order Date,Provider_City_Country
152880,Sony Xperia 20,2,800,04/10/21 15:43 ,"Provider_15,Isfahan, Iran"
152881,Xiaomi Redmi Note 11 Pro 5G,1,350,10/10/21 09:21 ,"Provider_11,Munich, Germany"
152882,Xiaomi 12 Pro,1,900,14/10/21 00:39 ,"Provider_2,Delhi, India"
152883,Xiaomi 12 Pro,1,900,17/10/21 17:24 ,"Provider_12,Hanoi, Vietnam"
152884,Xiaomi Redmi Note 11 Pro 5G,1,350,30/10/21 15:47 ,"Provider_3,Boston, United States"
152885,Nokia c100,1,200,21/10/21 09:59 ,"Provider_6,Moscow, Russia"
152886,Sony Xperia 20,1,800,16/10/21 21:36 ,"Provider_1,Beijing, China"
152887,Sony Xperia 10,1,700,02/10/21 11:42 ,"Provider_5,Sao Paulo, Brazil"
152888,Xiaomi Redmi Note 10 Pro 5G,1,200,19/10/21 19:45 ,"Provider_8,Mexico City, Mexico"
152889,Xiaomi Redmi Note 10 Pro 5G,3,200,12/10/21 15:35 ,"Provider_12,Hanoi, Vietnam"
152890,Nokia c300,2,600,22/10/21 21:31 ,"Provider_1,Beijing, China"
152891,Xiaomi 12 Pro,1,900,16/10/21 11:01 ,"Provider_1,Beijing, China"
152892,Samsung Galexy S10,1,300,21/10/21 14:05 ,"Provider_1,Beijing, China"
152893,Samsung Galexy S21,3,800,28/10/21 08:45 ,"Provider_20,Durban, South Africa"
152894,Xiaomi 12 Pro,1,900,22/10/21 16:44 ,"Provider_9,Lagos, Nigeria"
152895,Xiaomi 12 Pro,1,900,31/10/21 13:56 ,"Provider_2,Delhi, India"
152896,Xiaomi Redmi Note 11 Pro 5G,1,350,18/10/21 22:29 ,"Provider_20,Durban, South Africa"
152897,Xiaomi Redmi Note 10 Pro 5G,2,200,28/10/21 09:16 ,"Provider_17,Islamabad, Pakistan"
152898,Xiaomi Redmi Note 10 Pro 5G,2,200,02/10/21 15:27 ,"Provider_11,Munich, Germany"
152899,Xiaomi Redmi Note 11 Pro 5G,1,350,15/10/21 15:55 ,"Provider_6,Moscow, Russia"
152900,Xiaomi 12 Pro,1,900,31/10/21 17:25 ,"Provider_1,Beijing, China"
152901,Sony Xperia 5,1,450,09/10/21 22:20 ,"Provider_11,Munich, Germany"
152902,iPhone 11,4,500,13/10/21 12:36 ,"Provider_10,Manila, Philippines"
152903,Xiaomi 12 Pro,1,900,19/10/21 18:34 ,"Provider_4,Jakarta, Indonesia"
152904,Google Pixal - 2,1,900,23/10/21 16:17 ,"Provider_1,Beijing, China"
152905,Huawei - 2,1,350,22/10/21 15:17 ,"Provider_2,Delhi, India"
152906,Google Android,1,500,22/10/21 21:41 ,"Provider_3,Boston, United States"
152907,Huawei - 3,5,200,23/10/21 16:37 ,"Provider_2,Delhi, India"
152908,Samsung Galexy S22,2,1100,17/10/21 11:07 ,"Provider_4,Jakarta, Indonesia"
152909,Google Pixal - 1,1,700,15/10/21 15:01 ,"Provider_9,Lagos, Nigeria"
152910,Samsung Galexy S21,3,800,27/10/21 17:48 ,"Provider_9,Lagos, Nigeria"
152911,Samsung Galexy S22,1,1100,21/10/21 00:50 ,"Provider_9,Lagos, Nigeria"
152912,Huawei - 2,1,350,08/10/21 21:27 ,"Provider_7,Yokohama, Japan"
152913,Huawei - 1,1,550,29/10/21 06:56 ,"Provider_4,Jakarta, Indonesia"
152914,Samsung Galexy S21,1,800,20/10/21 19:38 ,"Provider_10,Manila, Philippines"
152915,Xiaomi Redmi Note 11 Pro 5G,1,350,28/10/21 18:19 ,"Provider_3,Boston, United States"
152916,Sony Xperia 10,3,700,02/10/21 20:25 ,"Provider_16,Giza, Egypt"
152917,Huawei - 3,1,200,17/10/21 18:54 ,"Provider_2,Delhi, India"
152918,Samsung Galexy S10,1,300,01/10/21 11:04 ,"Provider_9,Lagos, Nigeria"
152919,Samsung Galexy S22,1,1100,02/10/21 17:20 ,"Provider_15,Isfahan, Iran"
152920,iPhone 12,1,700,14/10/21 18:54 ,"Provider_4,Jakarta, Indonesia"
152921,Google Pixal - 1,1,700,11/10/21 10:11 ,"Provider_20,Durban, South Africa"
152922,Nokia c300,1,600,14/10/21 19:03 ,"Provider_11,Munich, Germany"
152923,Xiaomi 12 Pro,1,900,13/10/21 08:23 ,"Provider_13,Dhaka, Bangladesh"
152924,Xiaomi Redmi Note 11 Pro 5G,2,350,01/10/21 13:35 ,"Provider_18,Bangkok, Thailand"
152925,iPhone 12,3,700,28/10/21 15:05 ,"Provider_11,Munich, Germany"
152926,Huawei - 1,2,550,16/10/21 18:12 ,"Provider_1,Beijing, China"
152927,Google Pixal - 2,2,900,15/10/21 07:27 ,"Provider_2,Delhi, India"
152928,Google Pixal - 2,1,900,08/10/21 10:53 ,"Provider_10,Manila, Philippines"
152929,Xiaomi Redmi Note 10 Pro 5G,3,200,07/10/21 10:43 ,"Provider_3,Boston, United States"
152930,Samsung Galexy S10,1,300,07/10/21 13:00 ,"Provider_9,Lagos, Nigeria"
152931,Google Android,2,500,03/10/21 19:17 ,"Provider_8,Mexico City, Mexico"
152932,Xiaomi Redmi Note 11 Pro 5G,1,350,02/10/21 17:40 ,"Provider_13,Dhaka, Bangladesh"
152933,Xiaomi 12 Pro,1,900,02/10/21 15:47 ,"Provider_10,Manila, Philippines"
152934,Xiaomi Redmi Note 11 Pro 5G,2,350,25/10/21 03:17 ,"Provider_5,Sao Paulo, Brazil"
152935,Huawei - 2,1,350,28/10/21 12:23 ,"Provider_11,Munich, Germany"
152936,Huawei - 1,1,550,17/10/21 12:14 ,"Provider_1,Beijing, China"
152937,Xiaomi 12 Pro,2,900,03/10/21 07:25 ,"Provider_12,Hanoi, Vietnam"
152938,Google Pixal - 1,1,700,12/10/21 18:25 ,"Provider_20,Durban, South Africa"
152939,iPhone 13,2,1000,26/10/21 14:55 ,"Provider_1,Beijing, China"
152940,Huawei - 1,2,550,05/10/21 15:51 ,"Provider_4,Jakarta, Indonesia"
152941,iPhone 12,1,700,23/10/21 19:02 ,"Provider_12,Hanoi, Vietnam"
152942,iPhone 11,2,500,03/10/21 00:06 ,"Provider_13,Dhaka, Bangladesh"
152943,Google Pixal - 2,1,900,25/10/21 08:52 ,"Provider_13,Dhaka, Bangladesh"
152944,Huawei - 3,1,200,19/10/21 16:59 ,"Provider_9,Lagos, Nigeria"
152945,Huawei - 3,1,200,11/10/21 12:47 ,"Provider_10,Manila, Philippines"
152946,Xiaomi Redmi Note 11 Pro 5G,1,350,13/10/21 13:24 ,"Provider_10,Manila, Philippines"
152947,Google Pixal - 1,4,700,15/10/21 15:17 ,"Provider_17,Islamabad, Pakistan"
152948,Xiaomi Redmi Note 11 Pro 5G,2,350,30/10/21 16:29 ,"Provider_20,Durban, South Africa"
152949,Google Pixal - 1,1,700,05/10/21 08:57 ,"Provider_16,Giza, Egypt"
152950,iPhone 12,1,700,24/10/21 09:14 ,"Provider_11,Munich, Germany"
152951,Samsung Galexy S10,2,300,27/10/21 12:12 ,"Provider_2,Delhi, India"
152952,Samsung Galexy S22,2,1100,15/10/21 11:49 ,"Provider_1,Beijing, China"
152953,iPhone 12,1,700,16/10/21 21:07 ,"Provider_11,Munich, Germany"
152954,Nokia c300,1,600,16/10/21 09:56 ,"Provider_1,Beijing, China"
152955,iPhone 12,2,700,07/10/21 16:39 ,"Provider_10,Manila, Philippines"
152956,Samsung Galexy S22,1,1100,22/10/21 09:54 ,"Provider_10,Manila, Philippines"
152957,Sony Xperia 5,1,450,27/10/21 13:25 ,"Provider_11,Munich, Germany"
152958,Xiaomi Redmi Note 10 Pro 5G,2,200,09/10/21 10:46 ,"Provider_3,Boston, United States"
152959,Samsung Galexy S22,1,1100,05/10/21 17:54 ,"Provider_14,Ankara, Turkey"
152960,Google Android,3,500,24/10/21 15:30 ,"Provider_7,Yokohama, Japan"
152961,iPhone 11,2,500,31/10/21 16:19 ,"Provider_20,Durban, South Africa"
152962,Google Pixal - 2,2,900,22/10/21 11:54 ,"Provider_2,Delhi, India"
152963,Huawei - 1,1,550,20/10/21 12:26 ,"Provider_2,Delhi, India"
152964,iPhone 13,1,1000,26/10/21 09:15 ,"Provider_5,Sao Paulo, Brazil"
152965,Google Pixal - 2,2,900,13/10/21 09:03 ,"Provider_4,Jakarta, Indonesia"
152966,iPhone 12,1,700,09/10/21 22:31 ,"Provider_5,Sao Paulo, Brazil"
152967,Samsung Galexy S22,2,1100,04/10/21 09:32 ,"Provider_8,Mexico City, Mexico"
152968,Xiaomi 12 Pro,1,900,13/10/21 22:36 ,"Provider_4,Jakarta, Indonesia"
