Order ID,Phone,Quatity Ordered,Price Each,Order Date,Provider_City_Country
149992,Samsung Galexy S22,2,1100,19/09/21 22:02 ,"Provider_11,Munich, Germany"
149993,iPhone 12,2,700,05/09/21 15:58 ,"Provider_14,Ankara, Turkey"
149994,iPhone 12,1,700,04/09/21 03:37 ,"Provider_16,Giza, Egypt"
149995,Xiaomi 12 Pro,4,900,06/09/21 07:57 ,"Provider_6,Moscow, Russia"
149996,Google Android,3,500,19/09/21 22:46 ,"Provider_1,Beijing, China"
149997,Xiaomi Redmi Note 10 Pro 5G,3,200,14/09/21 12:24 ,"Provider_4,Jakarta, Indonesia"
149998,Xiaomi Redmi Note 11 Pro 5G,2,350,23/09/21 01:17 ,"Provider_11,Munich, Germany"
149999,Huawei - 3,1,200,16/09/21 22:34 ,"Provider_8,Mexico City, Mexico"
150000,Sony Xperia 20,1,800,04/09/21 19:33 ,"Provider_11,Munich, Germany"
150001,iPhone 11,1,500,23/09/21 23:54 ,"Provider_2,Delhi, India"
150002,Xiaomi 12 Pro,2,900,24/09/21 10:10 ,"Provider_14,Ankara, Turkey"
150003,iPhone 13,1,1000,21/09/21 15:59 ,"Provider_17,Islamabad, Pakistan"
150004,Nokia c300,3,600,09/09/21 09:59 ,"Provider_3,Boston, United States"
150005,Xiaomi Redmi Note 11 Pro 5G,1,350,06/09/21 22:48 ,"Provider_8,Mexico City, Mexico"
150006,iPhone 11,2,500,06/09/21 17:09 ,"Provider_4,Jakarta, Indonesia"
150007,Sony Xperia 5,1,450,11/09/21 20:38 ,"Provider_9,Lagos, Nigeria"
150008,iPhone 13,2,1000,04/09/21 08:47 ,"Provider_11,Munich, Germany"
150009,Samsung Galexy S10,1,300,24/09/21 11:31 ,"Provider_12,Hanoi, Vietnam"
150010,Samsung Galexy S21,1,800,12/09/21 14:08 ,"Provider_5,Sao Paulo, Brazil"
150011,Samsung Galexy S22,2,1100,06/09/21 11:57 ,"Provider_18,Bangkok, Thailand"
150012,Google Pixal - 1,2,700,29/09/21 13:54 ,"Provider_8,Mexico City, Mexico"
150013,Sony Xperia 20,1,800,04/09/21 00:11 ,"Provider_6,Moscow, Russia"
150014,Huawei - 2,1,350,03/09/21 06:40 ,"Provider_4,Jakarta, Indonesia"
150015,Sony Xperia 5,3,450,07/09/21 18:16 ,"Provider_4,Jakarta, Indonesia"
150016,iPhone 12,1,700,15/09/21 07:05 ,"Provider_9,Lagos, Nigeria"
150017,Xiaomi Redmi Note 11 Pro 5G,1,350,29/09/21 16:27 ,"Provider_10,Manila, Philippines"
150018,iPhone 12,1,700,09/09/21 20:00 ,"Provider_7,Yokohama, Japan"
150019,iPhone 13,1,1000,10/09/21 07:09 ,"Provider_16,Giza, Egypt"
150020,Google Pixal - 1,1,700,23/09/21 23:32 ,"Provider_11,Munich, Germany"
150021,Samsung Galexy S10,5,300,20/09/21 15:48 ,"Provider_3,Boston, United States"
150022,Samsung Galexy S22,1,1100,04/09/21 14:20 ,"Provider_9,Lagos, Nigeria"
150023,iPhone 13,5,1000,05/09/21 09:54 ,"Provider_4,Jakarta, Indonesia"
150024,Xiaomi 12 Pro,1,900,17/09/21 14:43 ,"Provider_16,Giza, Egypt"
150025,Xiaomi Redmi Note 11 Pro 5G,1,350,15/09/21 10:24 ,"Provider_11,Munich, Germany"
150026,Xiaomi Redmi Note 11 Pro 5G,2,350,12/09/21 18:56 ,"Provider_4,Jakarta, Indonesia"
150027,iPhone 13,1,1000,16/09/21 20:33 ,"Provider_9,Lagos, Nigeria"
150028,iPhone 12,2,700,28/09/21 18:53 ,"Provider_12,Hanoi, Vietnam"
150029,iPhone 11,3,500,21/09/21 12:38 ,"Provider_4,Jakarta, Indonesia"
150030,Xiaomi 12 Pro,2,900,17/09/21 11:49 ,"Provider_2,Delhi, India"
150031,iPhone 13,1,1000,16/09/21 21:44 ,"Provider_1,Beijing, China"
150032,Samsung Galexy S10,1,300,05/09/21 08:16 ,"Provider_2,Delhi, India"
150033,iPhone 12,1,700,23/09/21 21:21 ,"Provider_17,Islamabad, Pakistan"
150034,Sony Xperia 20,1,800,22/09/21 10:53 ,"Provider_10,Manila, Philippines"
150035,Google Pixal - 2,1,900,06/09/21 10:56 ,"Provider_1,Beijing, China"
150036,Huawei - 2,1,350,10/09/21 14:36 ,"Provider_2,Delhi, India"
150037,Xiaomi Redmi Note 10 Pro 5G,2,200,27/09/21 10:57 ,"Provider_1,Beijing, China"
150038,iPhone 12,1,700,08/09/21 01:13 ,"Provider_6,Moscow, Russia"
150039,Sony Xperia 20,1,800,03/09/21 16:06 ,"Provider_5,Sao Paulo, Brazil"
150040,Sony Xperia 20,1,800,13/09/21 19:08 ,"Provider_6,Moscow, Russia"
150041,Huawei - 3,1,200,09/09/21 10:04 ,"Provider_2,Delhi, India"
150042,Huawei - 3,2,200,28/09/21 19:56 ,"Provider_8,Mexico City, Mexico"
150043,Nokia c100,3,200,25/09/21 18:35 ,"Provider_12,Hanoi, Vietnam"
150044,Google Android,1,500,30/09/21 18:20 ,"Provider_8,Mexico City, Mexico"
150045,Xiaomi 12 Pro,1,900,12/09/21 17:01 ,"Provider_7,Yokohama, Japan"
150046,Samsung Galexy S21,1,800,03/09/21 20:35 ,"Provider_3,Boston, United States"
150047,iPhone 13,2,1000,04/09/21 09:46 ,"Provider_12,Hanoi, Vietnam"
150048,Samsung Galexy S10,1,300,25/09/21 08:32 ,"Provider_1,Beijing, China"
150049,iPhone 11,1,500,14/09/21 18:46 ,"Provider_2,Delhi, India"
150050,Google Android,1,500,25/09/21 14:30 ,"Provider_12,Hanoi, Vietnam"
150051,iPhone 12,2,700,11/09/21 05:31 ,"Provider_1,Beijing, China"
150052,Huawei - 1,1,550,13/09/21 00:04 ,"Provider_2,Delhi, India"
150053,iPhone 11,1,500,07/09/21 15:49 ,"Provider_1,Beijing, China"
150054,Samsung Galexy S22,2,1100,12/09/21 21:22 ,"Provider_16,Giza, Egypt"
150055,Xiaomi Redmi Note 10 Pro 5G,2,200,13/09/21 11:18 ,"Provider_7,Yokohama, Japan"
150056,Samsung Galexy S21,3,800,09/09/21 16:50 ,"Provider_2,Delhi, India"
150057,Nokia c200,2,400,14/09/21 13:31 ,"Provider_14,Ankara, Turkey"
150058,Sony Xperia 20,4,800,13/09/21 09:05 ,"Provider_13,Dhaka, Bangladesh"
150059,Huawei - 1,1,550,09/09/21 17:52 ,"Provider_5,Sao Paulo, Brazil"
150060,Xiaomi Redmi Note 10 Pro 5G,1,200,26/09/21 00:12 ,"Provider_4,Jakarta, Indonesia"
150061,Google Pixal - 2,3,900,30/09/21 22:44 ,"Provider_14,Ankara, Turkey"
150062,Samsung Galexy S22,1,1100,20/09/21 11:14 ,"Provider_6,Moscow, Russia"
150063,Sony Xperia 5,1,450,21/09/21 22:30 ,"Provider_13,Dhaka, Bangladesh"
150064,Sony Xperia 5,4,450,01/09/21 23:26 ,"Provider_1,Beijing, China"
150065,Huawei - 1,1,550,05/09/21 11:52 ,"Provider_3,Boston, United States"
150066,iPhone 13,1,1000,22/09/21 10:54 ,"Provider_6,Moscow, Russia"
150067,Google Pixal - 2,2,900,04/09/21 13:30 ,"Provider_8,Mexico City, Mexico"
150068,Nokia c200,1,400,25/09/21 21:38 ,"Provider_13,Dhaka, Bangladesh"
150069,Samsung Galexy S21,1,800,09/09/21 17:34 ,"Provider_7,Yokohama, Japan"
150070,Xiaomi 12 Pro,1,900,09/09/21 04:33 ,"Provider_18,Bangkok, Thailand"
150071,Sony Xperia 10,1,700,19/09/21 11:27 ,"Provider_16,Giza, Egypt"
150072,Nokia c100,2,200,01/09/21 12:27 ,"Provider_11,Munich, Germany"
150073,Xiaomi Redmi Note 11 Pro 5G,1,350,26/09/21 11:37 ,"Provider_15,Isfahan, Iran"
150074,Google Pixal - 2,2,900,02/09/21 16:18 ,"Provider_7,Yokohama, Japan"
150075,iPhone 11,1,500,01/09/21 13:28 ,"Provider_3,Boston, United States"
150076,iPhone 12,1,700,12/09/21 20:42 ,"Provider_17,Islamabad, Pakistan"
150077,Xiaomi Redmi Note 10 Pro 5G,1,200,26/09/21 18:15 ,"Provider_8,Mexico City, Mexico"
150078,Sony Xperia 10,1,700,06/09/21 18:07 ,"Provider_4,Jakarta, Indonesia"
150079,Sony Xperia 5,1,450,02/09/21 13:47 ,"Provider_13,Dhaka, Bangladesh"
